[[ob_order_id]]|shipment_id|origin_ib|destination_ib|pick_up_date_time_ib|delivery_date_time_ib|origin_ob|destination_ob|origin_ob_geo|destination_ob_geo|pick_up_date_time_ob|delivery_date_time_ob|client_name|freight_rate|benefit|state|radius|equipment_type|status|cdty_cd|srvc_cd|carr|pull_tm|schd_drop|contact|weight|email|quantity|cube|total_time|incremental_time|incremental_distance|expense
||||||||||||||||||||||||||||||||
|25693038|MILWAUKIE, OR|ARLINGTON, WA|05.08.2020 09:00:01|05.08.2020 13:27:28|Olympia, WA|Toppenish, WA|46.978118;-122.702393|46.35653;-120.33462|05.08.2020 17:33:57|05.08.2020 22:23:31|TRUCKSTOP.COM|$500|75|OR|75-200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:27:28|208-401-6470|40000|non|non|non|18:19:08|535|211|425
|25689853|MILWAUKIE, OR|ARLINGTON, WA|05.08.2020 09:00:01|05.08.2020 13:27:28|Olympia, WA|Toppenish, WA|46.978118;-122.702393|46.35653;-120.33462|05.08.2020 17:33:57|05.08.2020 22:23:31|TRUCKSTOP.COM|$500|75|OR|75-200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:27:28|208-401-6470|40000|non|non|non|18:19:08|535|211|425
|25693052|PORTLAND, OR|MOSES LAKE, WA|05.08.2020 09:00:01|05.08.2020 16:07:51|PARKER, WA|LACEY, WA|46.56451;-120.694658|46.978118;-122.702393|05.08.2020 20:04:36|06.08.2020 00:37:12|EVERGREEN SHIPPERS LLC1|$400|154|OR|75-200|VAN (FSDV)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 16:07:51|509-321-4382|40000|non|non|non|19:45:26|300|125|246
||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||
|25693056|PORTLAND, OR|ARLINGTON, WA|05.08.2020 09:00:01|05.08.2020 13:27:28|Olympia, WA|Toppenish, WA|46.978118;-122.702393|46.35653;-120.33462|05.08.2020 17:33:57|05.08.2020 22:23:31|TRUCKSTOP.COM|$500|75|OR|75-200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:27:28|208-401-6470|40000|non|non|non|18:19:08|535|211|425
|25660621|PORTLAND, OR|ARLINGTON, WA|05.08.2020 09:00:01|05.08.2020 13:27:28|Olympia, WA|Toppenish, WA|46.978118;-122.702393|46.35653;-120.33462|05.08.2020 17:33:57|05.08.2020 22:23:31|TRUCKSTOP.COM|$500|75|OR|75-200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:27:28|208-401-6470|40000|non|non|non|18:19:08|535|211|425
|25693053|PORTLAND, OR|PENDLETON, OR|05.08.2020 09:00:01|05.08.2020 13:03:14|Hermiston, OR|Seattle, WA|45.846442;-119.28423|47.64767;-122.39758|05.08.2020 15:05:40|05.08.2020 20:03:42|Client Advantage Logistics LLC|$725|302|OR|75-200|VAN (VVR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:03:14|702-985-2254|40000|non|non|non|15:27:27|411|244|423
||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||
|25693051|PORTLAND, OR|BELLINGHAM, WA|05.08.2020 09:00:01|05.08.2020 13:55:08|Olympia, WA|Toppenish, WA|46.978118;-122.702393|46.35653;-120.33462|05.08.2020 18:30:05|05.08.2020 23:19:39|TRUCKSTOP.COM|$500|75|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 13:55:08|208-401-6470|40000|non|non|non|19:15:16|535|211|425
||||||||||||||||||||||||||||||||
|25693042|MILWAUKIE, OR|UNION GAP, WA|05.08.2020 09:00:01|05.08.2020 16:41:22|PARKER, WA|VANCOUVER, WA|46.56451;-120.694658|45.801586;-122.520347|05.08.2020 18:30:47|06.08.2020 02:58:21|EVERGREEN SHIPPERS LLC1|$400|280|OR|75-200|VAN (FSDV)|ALL|DRY|#DAY CAB#|#HTN#|05.08.2020 09:00:01|05.08.2020 16:41:22|509-321-4382|40000|non|non|non|19:43:11|231|37|120
