veh_name;ip-order;ip-arrive;ip-depart;ip-dist;id-order;id-arrive;id-depart;id-dist;ep-order;ep-arrive;ep-depart;ep-dist;ed-order;ed-arrive;ed-depart;ed-dist;term-order;term-arrive;term-depart;term-dist
veh-25637994;ip-25637994;09:00;09:00:01;0;id-25637994;09:25:25;09:55:25;27842;;;;;;;;;virtual_termop;10:21:39;10:26:39;28330;
veh-25673385;ip-25673385;09:00;09:00:01;0;id-25673385;14:21:27;14:51:27;413970;;;;;;;;;virtual_termop;20:03:27;20:08:27;412467;
veh-25675931;ip-25675931;09:00;09:00:01;0;id-25675931;09:18:47;09:48:47;16602;;;;;;;;;virtual_termop;10:06:09;10:11:09;16200;
veh-25675946;ip-25675946;09:00;09:00:01;0;id-25675946;12:38:05;13:08:05;331050;;;;;;;;;virtual_termop;16:47:21;16:52:21;331649;
veh-25675948;ip-25675948;09:00;09:00:01;0;id-25675948;13:15:56;13:45:56;271248;;;;;;;;;virtual_termop;18:00:29;18:05:29;269858;
veh-25675959;ip-25675959;09:00;09:00:01;0;id-25675959;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675960;ip-25675960;09:00;09:00:01;0;id-25675960;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675961;ip-25675961;09:00;09:00:01;0;id-25675961;14:37:44;15:07:44;433139;;;;;;;;;virtual_termop;20:41:03;20:46:03;432835;
veh-25675963;ip-25675963;09:00;09:00:01;0;id-25675963;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25675965;ip-25675965;09:00;09:00:01;0;id-25675965;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25675966;ip-25675966;09:00;09:00:01;0;id-25675966;13:34:13;14:04:13;354164;;;;;;;;;virtual_termop;18:42:31;18:47:31;353776;
veh-25675967;ip-25675967;09:00;09:00:01;0;id-25675967;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25675968;ip-25675968;09:00;09:00:01;0;id-25675968;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25675969;ip-25675969;09:00;09:00:01;0;id-25675969;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675970;ip-25675970;09:00;09:00:01;0;id-25675970;11:54:57;12:24:57;258245;;;;;;;;;virtual_termop;15:27:06;15:32:06;257124;
veh-25675972;ip-25675972;09:00;09:00:01;0;id-25675972;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25675973;ip-25675973;09:00;09:00:01;0;id-25675973;11:23:12;11:53:12;210852;;;;;;;;;virtual_termop;14:26:46;14:31:46;210115;
veh-25675974;ip-25675974;09:00;09:00:01;0;id-25675974;13:15:56;13:45:56;271248;;;;;;;;;virtual_termop;18:00:29;18:05:29;269858;
veh-25675975;ip-25675975;09:00;09:00:01;0;id-25675975;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675976;ip-25675976;09:00;09:00:01;0;id-25675976;09:18:47;09:48:47;16602;;;;;;;;;virtual_termop;10:06:09;10:11:09;16200;
veh-25675977;ip-25675977;09:00;09:00:01;0;id-25675977;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25675979;ip-25675979;09:00;09:00:01;0;id-25675979;09:40:55;10:10:55;55266;;;;;;;;;virtual_termop;10:56:55;11:01:55;54566;
veh-25675982;ip-25675982;09:00;09:00:01;0;id-25675982;11:54:57;12:24:57;258245;;;;;;;;;virtual_termop;15:27:06;15:32:06;257124;
veh-25675984;ip-25675984;09:00;09:00:01;0;id-25675984;14:37:59;15:07:59;407269;;;;;;;;;virtual_termop;20:20:34;20:25:34;396334;
veh-25675985;ip-25675985;09:00;09:00:01;0;id-25675985;11:59:10;12:29:10;220077;;;;;;;;;virtual_termop;15:32:31;15:37:31;219572;
veh-25675986;ip-25675986;09:00;09:00:01;0;id-25675986;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25675987;ip-25675987;09:00;09:00:01;0;id-25675987;10:16:25;10:46:25;120489;;;;;;;;;virtual_termop;12:02:28;12:07:28;119379;
veh-25675988;ip-25675988;09:00;09:00:01;0;id-25675988;09:56:55;10:26:55;66676;;;;;;;;;virtual_termop;11:24:09;11:29:09;65239;
veh-25675991;ip-25675991;09:00;09:00:01;0;id-25675991;09:18:47;09:48:47;16602;;;;;;;;;virtual_termop;10:06:09;10:11:09;16200;
veh-25675993;ip-25675993;09:00;09:00:01;0;id-25675993;09:18:28;09:48:28;16753;;;;;;;;;virtual_termop;10:07:17;10:12:17;17979;
veh-25675994;ip-25675994;09:00;09:00:01;0;id-25675994;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25675995;ip-25675995;09:00;09:00:01;0;id-25675995;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676000;ip-25676000;09:00;09:00:01;0;id-25676000;12:38:05;13:08:05;331050;;;;;;;;;virtual_termop;16:47:21;16:52:21;331649;
veh-25676001;ip-25676001;09:00;09:00:01;0;id-25676001;09:35:57;10:05:57;36408;;;;;;;;;virtual_termop;10:41:22;10:46:22;36517;
veh-25676002;ip-25676002;09:00;09:00:01;0;id-25676002;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676003;ip-25676003;09:00;09:00:01;0;id-25676003;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
veh-25676004;ip-25676004;09:00;09:00:01;0;id-25676004;13:32:27;14:02:27;399494;;;;;;;;;virtual_termop;18:36:43;18:41:43;399053;
