Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
763;HTN;HTN_34206;HTN;64200;HOUSTON;TX;BRWY;34206;34206;AUSTIN;TX;WS;161;286;36;100;449534;146;3069;3069;322;2747;2747
654;FCL;FCL_CODC;FCL;30500;FORT COLLINS;CO;BRWY;CODC;70500;AURORA;CO;BR;69;307;2;100;410059;154;2669;2669;309;2361;2361
986;JKSV;JKSV_10922;JKSV;30900;JACKSONVILLE;FL;BRWY;10922;10922;ORLANDO;FL;WS;145;398;144;100;404401;153;2635;2635;542;2093;2093
140;COL;COL_93421;COL;43400;COLUMBUS;OH;BRWY;93421;93421;BRECKSVILLE;OH;WS;127;333;158;100;387367;163;2370;2370;491;1879;1879
652;FCL;FCL_10500;FCL;30500;FORT COLLINS;CO;BRWY;10500;10500;DENVER;CO;BB;62;584;9;100;358449;154;2333;2333;593;1741;1741
42;BLDV;BLDV_23762;BLDV;23100;BALDWINSVILLE;NY;BRWY;23762;23762;HATFIELD;PA;WS;243;114;247;100;298614;145;2062;2062;361;1701;1701
985;JKSV;JKSV_40940;JKSV;30900;JACKSONVILLE;FL;BRWY;40940;40940;SARASOTA;FL;WS;246;297;2;100;292649;153;1911;1911;299;1612;1612
778;HTN;HTN_64225;HTN;64200;HOUSTON;TX;BRWY;64225;64225;FORT WORTH;TX;WS;265;337;1788;100;557515;153;3643;3643;2125;1518;1518
1172;MERR;MERR_12000;MERR;22800;MERRIMACK;NH;BRWY;12000;12000;MEDFORD;MA;BB;50;409;98;100;290232;150;1940;1940;507;1434;1434
777;HTN;HTN_64221;HTN;64200;HOUSTON;TX;BRWY;64221;64221;DALLAS;TX;WB;246;379;3658;100;847364;156;5438;5438;4037;1401;1401
910;JKSV;JKSV_10906;JKSV;30900;JACKSONVILLE;FL;BRWY;10906;10906;DAYTONA BEACH;FL;WS;113;191;82;100;259182;156;1663;1663;273;1389;1389
930;JKSV;JKSV_40901;JKSV;30900;JACKSONVILLE;FL;BRWY;40901;40901;ST. PETERSBURG;FL;WS;212;349;326;100;312820;153;2046;2046;675;1371;1371
937;JKSV;JKSV_40993;JKSV;30900;JACKSONVILLE;FL;BRWY;40993;40993;WEST PALM BEACH;FL;WS;283;161;0;100;212947;140;1523;1523;161;1362;1362
922;JKSV;JKSV_10903;JKSV;30900;JACKSONVILLE;FL;BRWY;10903;10903;MELBOURNE;FL;WS;178;215;89;100;255662;155;1646;1646;304;1342;1342
987;JKSV;JKSV_40908;JKSV;30900;JACKSONVILLE;FL;BRWY;40908;40908;TAMPA;FL;WS;200;323;1005;100;412572;156;2648;2648;1328;1320;1320
198;COL;COL_62155;COL;43400;COLUMBUS;OH;BRWY;62155;62155;BAY CITY;MI;WS;271;333;168;100;269418;152;1775;1775;501;1274;1274
2011;WMS;WMS_74562;WMS;14500;WILLIAMSBURG;VA;BRWY;74562;74562;CHESAPEAKE;VA;WS;50;179;163;100;249876;156;1602;1602;342;1260;1260
982;JKSV;JKSV_20948;JKSV;30900;JACKSONVILLE;FL;BRWY;20948;20948;EBRO;FL;WB;265;145;2;100;214556;156;1377;1377;147;1230;1230
2046;WMS;WMS_53234;WMS;14500;WILLIAMSBURG;VA;BRWY;53234;53234;GREENSBORO;NC;WS;231;61;65;100;200859;153;1312;1312;126;1185;1185
911;JKSV;JKSV_20922;JKSV;30900;JACKSONVILLE;FL;BRWY;20922;20922;SANFORD;FL;WS;122;158;142;100;233243;158;1477;1477;300;1177;1177
1760;STL;STL_51229;STL;52400;ST LOUIS;MO;BRWY;51229;51229;DECATUR;IL;WS;120;146;89;100;217484;157;1385;1385;235;1150;1150
925;JKSV;JKSV_40915;JKSV;30900;JACKSONVILLE;FL;BRWY;40915;40915;HOLIDAY;FL;WB;188;319;218;100;255888;155;1649;1649;537;1112;1112
756;HTN;HTN_44207;HTN;64200;HOUSTON;TX;BRWY;44207;44207;BEAUMONT;TX;WB;81;81;19;100;191696;162;1187;1187;100;1087;1087
163;COL;COL_91646;COL;43400;COLUMBUS;OH;BRWY;91646;91646;LEXINGTON;KY;WS;182;152;79;100;193052;148;1303;1303;231;1072;1072
2040;WMS;WMS_43231;WMS;14500;WILLIAMSBURG;VA;BRWY;43231;43231;GOLDSBORO;NC;WB;203;145;909;100;344051;162;2125;2125;1054;1071;1071
909;JKSV;JKSV_40924;JKSV;30900;JACKSONVILLE;FL;BRWY;40924;40924;OCALA;FL;WB;100;103;33;100;194853;162;1205;1205;136;1069;1069
401;CRTV;CRTV_84146;CRTV;31000;CARTERSVILLE;GA;BRWY;84146;84146;KNOXVILLE;TN;WS;154;95;17;100;170651;148;1152;1152;112;1040;1040
981;JKSV;JKSV_40979;JKSV;30900;JACKSONVILLE;FL;BRWY;40979;40979;FORT PIERCE;FL;WS;225;137;144;100;199664;153;1308;1308;281;1027;1027
2037;WMS;WMS_41902;WMS;14500;WILLIAMSBURG;VA;BRWY;41902;41902;NOTTINGHAM;MD;WS;198;93;93;100;173542;149;1165;1165;186;979;979
124;COL;COL_13426;COL;43400;COLUMBUS;OH;BRWY;13426;13426;MORAINE;OH;WS;76;193;153;100;211736;160;1322;1322;346;976;976
130;COL;COL_93459;COL;43400;COLUMBUS;OH;BRWY;93459;93459;WEST CHESTER;OH;WS;100;125;153;100;199864;160;1251;1251;278;974;974
16;BLDV;BLDV_13198;BLDV;23100;BALDWINSVILLE;NY;BRWY;13198;13198;SARATOGA SPRINGS;NY;WS;146;109;159;100;203206;166;1223;1223;268;954;954
1750;STL;STL_21221;STL;52400;ST LOUIS;MO;BRWY;21221;21221;GREENVILLE;IL;WS;54;91;7;100;159907;158;1012;1012;98;915;915
2062;WMS;WMS_23762;WMS;14500;WILLIAMSBURG;VA;BRWY;23762;23762;HATFIELD;PA;WS;299;0;0;100;135284;149;905;905;\N;905;905
388;CRTV;CRTV_71008;CRTV;31000;CARTERSVILLE;GA;BRWY;71008;71008;ATHENS;GA;WS;98;69;12;100;152245;155;980;980;81;899;899
127;COL;COL_13451;COL;43400;COLUMBUS;OH;BRWY;13451;13451;LIMA;OH;BB;86;92;127;100;166085;150;1106;1106;219;888;888
1194;MERR;MERR_40689;MERR;22800;MERRIMACK;NH;BRWY;40689;40689;ORANGE;CT;WS;162;2;247;100;143767;127;1136;1136;249;887;887
202;COL;COL_32128;COL;43400;COLUMBUS;OH;BRWY;32128;32128;GRAND RAPIDS;MI;WS;286;21;94;100;145884;150;972;972;115;857;857
924;JKSV;JKSV_40919;JKSV;30900;JACKSONVILLE;FL;BRWY;40919;40919;EATON PARK;FL;WS;187;156;429;100;227435;159;1434;1434;585;850;850
129;COL;COL_93462;COL;43400;COLUMBUS;OH;BRWY;93462;93462;NORWALK;OH;WS;89;87;105;100;157207;162;970;970;192;778;778
135;COL;COL_93411;COL;43400;COLUMBUS;OH;BRWY;93411;93411;CANTON;OH;BB;120;78;27;100;137768;159;864;864;105;758;758
759;HTN;HTN_54294;HTN;64200;HOUSTON;TX;BRWY;54294;54294;VICTORIA;TX;WB;121;58;67;100;134881;157;862;862;125;737;737
760;HTN;HTN_51733;HTN;64200;HOUSTON;TX;BRWY;51733;51733;LAKE CHARLES;LA;WS;140;57;15;100;123762;155;799;799;72;726;726
402;CRTV;CRTV_10121;CRTV;31000;CARTERSVILLE;GA;BRWY;10121;10121;BIRMINGHAM;AL;WS;157;96;0;100;121122;150;810;810;96;714;714
944;JKSV;JKSV_10938;JKSV;30900;JACKSONVILLE;FL;BRWY;10938;10938;DEERFIELD BEACH;FL;WS;310;134;507;100;186086;141;1316;1316;641;675;675
2030;WMS;WMS_41901;WMS;14500;WILLIAMSBURG;VA;BRWY;41901;41901;ANNAPOLIS;MD;WS;170;67;5;100;112790;152;744;744;72;672;672
143;COL;COL_81617;COL;43400;COLUMBUS;OH;BRWY;81617;81617;WALTON;KY;WS;132;126;149;100;147206;156;945;945;275;670;670
2035;WMS;WMS_64524;WMS;14500;WILLIAMSBURG;VA;BRWY;64524;64524;WINCHESTER;VA;WB;185;103;2;100;114051;153;744;744;105;640;640
1187;MERR;MERR_10640;MERR;22800;MERRIMACK;NH;BRWY;10640;10640;MANCHESTER;CT;WS;117;38;185;100;121202;143;848;848;223;624;624
2043;WMS;WMS_61915;WMS;14500;WILLIAMSBURG;VA;BRWY;61915;61915;HAGERSTOWN;MD;WS;212;82;9;100;112023;157;712;712;91;621;621
181;COL;COL_03722;COL;43400;COLUMBUS;OH;BRWY;3722;3722;ERIE;PA;WS;228;0;0;100;89997;147;610;610;\N;610;610
1219;MERR;MERR_43168;MERR;22800;MERRIMACK;NH;BRWY;43168;43168;EAST YAPHANK;NY;WS;277;0;0;100;66248;113;588;588;\N;588;588
489;CRTV;CRTV_12344;CRTV;31000;CARTERSVILLE;GA;BRWY;12344;12344;RICHLAND;MS;WS;380;69;0;100;88256;136;651;651;69;582;582
2016;WMS;WMS_64597;WMS;14500;WILLIAMSBURG;VA;BRWY;64597;64597;FREDERICKSBURG;VA;WB;97;97;63;100;113811;157;725;725;160;565;565
122;COL;COL_03413;COL;43400;COLUMBUS;OH;BRWY;3413;3413;CHILLICOTHE;OH;WS;50;37;14;100;100512;165;609;609;51;558;558
1784;STL;STL_32486;STL;52400;ST LOUIS;MO;BRWY;32486;32486;SPRINGFIELD;MO;WS;216;90;115;100;118918;157;757;757;205;552;552
908;JKSV;JKSV_91094;JKSV;30900;JACKSONVILLE;FL;BRWY;91094;91094;BLACKSHEAR;GA;WB;79;41;5;100;94866;160;595;595;46;548;548
906;JKSV;JKSV_70923;JKSV;30900;JACKSONVILLE;FL;BRWY;70923;70923;LAKE CITY;FL;WB;63;52;36;100;104850;165;636;636;88;548;548
134;COL;COL_23486;COL;43400;COLUMBUS;OH;BRWY;23486;23486;NORTHWOOD;OH;WS;119;115;274;100;149180;160;933;933;389;544;544
479;CRTV;CRTV_JKSV;CRTV;31000;CARTERSVILLE;GA;BRWY;JKSV;30900;JACKSONVILLE;FL;BR;358;23;372;100;110445;118;934;934;395;539;539
