Origin;Dest;DestWslr;TractorType;LaneType;TrueTrip;Mileage
BLDV;BLDV;23100;SLEEPER;Sleeper;1.38;1
BLDV;ANSY;23110;DAYCAB;SlipSeat;1.38;1
BLDV;13106;13106;DAYCAB;SlipSeat;2.31;17
BLDV;3104;3104;DAYCAB;SlipSeat;3.56;17
BLDV;83167;83167;DAYCAB;SlipSeat;3.67;40
BLDV;73175;73175;DAYCAB;SlipSeat;4.55;55
BLDV;3150;3150;DAYCAB;SlipSeat;6.56;68
BLDV;3162;3162;DAYCAB;SlipSeat;7.62;86
BLDV;23105;23105;DAYCAB;SlipSeat;7.91;91
BLDV;23125;23125;DAYCAB;SlipSeat;7.19;100
BLDV;3130;3130;DAYCAB;SlipSeat;7.71;113
BLDV;23161;23161;DAYCAB;SlipSeat;7.94;118
BLDV;63124;63124;DAYCAB;SlipSeat;7;125
BLDV;33107;33107;DAYCAB;SlipSeat;7.41;134
BLDV;3126;3126;DAYCAB;SlipSeat;9.07;143
BLDV;13198;13198;DAYCAB;SlipSeat;7.96;146
BLDV;3786;3786;DAYCAB;SlipSeat;9.35;149
BLDV;3102;3102;DAYCAB;SlipSeat;9.53;153
BLDV;33159;33159;DAYCAB;SlipSeat;9.94;162
BLDV;83151;83151;DAYCAB;SlipSeat;9.98;163
BLDV;3710;3710;DAYCAB;SlipSeat;10.21;168
BLDV;43720;43720;DAYCAB;SlipSeat;9.28;175
BLDV;53736;53736;DAYCAB;SlipSeat;9.28;175
BLDV;82066;82066;DAYCAB;SlipSeat;9.87;188
BLDV;3792;3792;DAYCAB;SlipSeat;10.28;197
BLDV;53164;53164;DAYCAB;SlipSeat;11.08;201
BLDV;43782;43782;DAYCAB;SlipSeat;11.38;207
BLDV;43154;43154;DAYCAB;SlipSeat;12;208
BLDV;53166;53166;DAYCAB;SlipSeat;11.47;209
BLDV;3142;3142;DAYCAB;SlipSeat;11.62;212
BLDV;23721;23721;DAYCAB;SlipSeat;12;214
BLDV;64406;64406;DAYCAB;SlipSeat;11.76;215
BLDV;3734;3734;SLEEPER;Sleeper;13.31;221
BLDV;42917;42917;DAYCAB;SlipSeat;12;226
BLDV;93752;93752;SLEEPER;Sleeper;13.6;227
BLDV;3728;3728;SLEEPER;Sleeper;13.69;229
BLDV;3722;3722;DAYCAB;SlipSeat;12;230
BLDV;43163;43163;DAYCAB;SlipSeat;12;234
BLDV;63165;63165;SLEEPER;Sleeper;12.78;236
BLDV;82079;82079;DAYCAB;SlipSeat;12;238
BLDV;3726;3726;SLEEPER;Sleeper;14.33;242
BLDV;23762;23762;DAYCAB;SlipSeat;12;243
BLDV;13755;13755;SLEEPER;Sleeper;14.52;246
BLDV;NWK;92900;SLEEPER;Sleeper;13.51;251
BLDV;32960;32960;SLEEPER;Sleeper;14.86;253
BLDV;13733;13733;SLEEPER;Sleeper;13.81;257
BLDV;32950;32950;SLEEPER;Sleeper;15.1;258
BLDV;23764;23764;SLEEPER;Sleeper;15.2;260
BLDV;64407;64407;SLEEPER;Sleeper;13.95;260
BLDV;92015;92015;SLEEPER;Sleeper;14.19;265
BLDV;PAME;73700;SLEEPER;Sleeper;15.44;265
BLDV;10640;10640;SLEEPER;Sleeper;14.24;266
BLDV;43100;43100;SLEEPER;Sleeper;15.49;266
BLDV;93703;93703;SLEEPER;Sleeper;15.54;267
BLDV;RPS6;23700;SLEEPER;Sleeper;15.54;267
BLDV;42942;42942;SLEEPER;Sleeper;14.39;269
BLDV;22986;22986;SLEEPER;Sleeper;14.49;271
BLDV;43122;43122;SLEEPER;Sleeper;15.74;271
BLDV;3796;3796;SLEEPER;Sleeper;16.03;277
BLDV;92098;92098;SLEEPER;Sleeper;14.83;278
BLDV;22930;22930;SLEEPER;Sleeper;14.87;279
BLDV;40689;40689;SLEEPER;Sleeper;15.12;284
BLDV;13797;13797;SLEEPER;Sleeper;15.21;286
BLDV;2030;2030;SLEEPER;Sleeper;16.61;289
BLDV;2813;2813;SLEEPER;Sleeper;15.41;290
BLDV;93701;93701;SLEEPER;Sleeper;16.66;290
