COMPANY ;PHONE;TRLR;AGE;MODE;PICKUP;ORIGIN CITY;STATE;DIST;DESTINATION CITY;STATE;DISTANCE ;RATE;LENGTH;WEIGHT;D2P;EXP;FUEL;MILES
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;CONROE;TX;39;\N;53;\N;19;A;89;223
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;CONROE;TX;39;\N;53;5000;19;A;89;223
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;HOUSTON;TX;0;\N;48;26000;19;A;102;261
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;HOUSTON;TX;0;\N;48;42000;19;A;102;261
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;HOUSTON;TX;0;\N;48;42000;19;A;102;261
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;HOUSTON;TX;0;\N;48;44000;19;A;102;261
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;26000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;26000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;FORT WORTH;TX;239;PASADENA;TX;13;\N;48;44000;19;A;108;274
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAPEVINE;TX;255;HOUSTON;TX;0;\N;48;30000;19;A;101;260
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAPEVINE;TX;255;HOUSTON;TX;0;\N;48;30000;19;A;101;260
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAND PRAIRIE;TX;244;HOUSTON;TX;0;\N;53;18000;19;A;97;251
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAND PRAIRIE;TX;244;HOUSTON;TX;0;\N;53;18000;19;A;97;251
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAND PRAIRIE;TX;244;HOUSTON;TX;0;\N;53;18000;19;A;97;251
TOTAL QU;800-580-3101;VR;9:00+;TL;Jun-30;GRAND PRAIRIE;TX;244;HOUSTON;TX;0;\N;53;18000;19;A;97;251
