Srce|Shipnum|Shpd_Dt|Origin|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25693039|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|ARLINGTON|WA|98223|224
TMS|25693038|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|ARLINGTON|WA|98223|224
TMS|25689853|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|ARLINGTON|WA|98223|224
TMS|25693052|2020-08-05|PORT|DRY|PORTLAND|OR|97222|MOSES LAKE|WA|98837|272
TMS|25689822|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|SPOKANE|WA|99212|347
TMS|25688399|2020-08-05|PORT|DRY|PORTLAND|OR|97222|PORTLAND (MALETIS|OR|97217|1
TMS|25693056|2020-08-05|PORT|DRY|PORTLAND|OR|97222|ARLINGTON|WA|98223|217
TMS|25660621|2020-08-05|PORT|DRY|PORTLAND|OR|97222|ARLINGTON|WA|98223|217
TMS|25693053|2020-08-05|PORT|DRY|PORTLAND|OR|97222|PENDLETON|OR|97801|207
TMS|25693049|2020-08-05|PORT|DRY|PORTLAND|OR|97222|WENATCHEE|WA|98801|283
TMS|25693054|2020-08-05|PORT|DRY|PORTLAND|OR|97222|MEDFORD|OR|97501|273
TMS|25693035|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|PORTLAND (AB)|OR|97230|13
TMS|25693051|2020-08-05|PORT|DRY|PORTLAND|OR|97222|BELLINGHAM|WA|98226|261
TMS|25690011|2020-08-05|PORT|DRY|PORTLAND|OR|97222|SPOKANE|WA|99212|341
TMS|25693042|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|UNION GAP|WA|98903|178
TMS|25693034|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|UNION GAP|WA|98903|178
TMS|25693041|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|EUGENE|OR|97402|108
TMS|25693040|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|EUGENE|OR|97402|108
TMS|25693033|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|EUGENE|OR|97402|108
TMS|25693031|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|EUGENE|OR|97402|108
TMS|25693037|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|PUYALLUP|WA|98371|151
TMS|25693036|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|PUYALLUP|WA|98371|151
TMS|25693028|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|PUYALLUP|WA|98371|151
TMS|25694389|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|ANCHORAGE|AK|99212|172
TMS|25694386|2020-08-05|ORMI|DRY|MILWAUKIE|OR|97222|ANCHORAGE|AK|99212|172
