Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25694386","25694386","MILWAUKIE, OR","ANCHORAGE, AK","","1575231356","Client Advantage Logistics LLC","702-985-2254","Hermiston, OR","Portland, OR","20.3176457429754","121","611.175844689956"
"veh-25693053","25693053","PORTLAND, OR","PENDLETON, OR","","1575231355","Client Advantage Logistics LLC","702-985-2254","Hermiston, OR","Seattle, WA","243.573141784831","411","302.227692693899"
"veh-25693039","25693039","MILWAUKIE, OR","ARLINGTON, WA","","1581663560","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25693038","25693038","MILWAUKIE, OR","ARLINGTON, WA","","1581666060","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25693038","25693038","MILWAUKIE, OR","ARLINGTON, WA","","1581668553","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25689853","25689853","MILWAUKIE, OR","ARLINGTON, WA","","1581666063","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25689853","25689853","MILWAUKIE, OR","ARLINGTON, WA","","1581661060","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25693056","25693056","PORTLAND, OR","ARLINGTON, WA","","1581668560","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25693056","25693056","PORTLAND, OR","ARLINGTON, WA","","1581661063","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25660621","25660621","PORTLAND, OR","ARLINGTON, WA","","1581666053","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.03930803932","535","74.7802831802685"
"veh-25693051","25693051","PORTLAND, OR","BELLINGHAM, WA","","1581663553","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.05049274858","535","74.7670852233421"
"veh-25693037","25693037","MILWAUKIE, OR","PUYALLUP, WA","","1581668563","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.318925770813","536","74.1210009237741"
"veh-25693036","25693036","MILWAUKIE, OR","PUYALLUP, WA","","1581661053","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.318925770813","536","74.1210009237741"
"veh-25693028","25693028","MILWAUKIE, OR","PUYALLUP, WA","","1581663563","TRUCKSTOP.COM","208-401-6470","Olympia, WA","Toppenish, WA","211.318925770813","536","74.1210009237741"
"veh-25693042","25693042","MILWAUKIE, OR","UNION GAP, WA","","1578170745","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","AUBURN, WA","124.676575490574","94","221.92430758779"
"veh-25693052","25693052","PORTLAND, OR","MOSES LAKE, WA","","1578170676","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","FEDERAL WAY, WA","142.480147141064","252","148.881426373544"
"veh-25693034","25693034","MILWAUKIE, OR","UNION GAP, WA","","1578171201","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","ISSAQUAH, WA","157.740440180447","63","193.118280587073"
"veh-25693052","25693052","PORTLAND, OR","MOSES LAKE, WA","","1578826309","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","LACEY, WA","124.615680962382","300","154.153496464389"
"veh-25693034","25693034","MILWAUKIE, OR","UNION GAP, WA","","1579245675","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","MCMINNVILLE, OR","79.0901860389974","200","240.806913807316"
"veh-25693034","25693034","MILWAUKIE, OR","UNION GAP, WA","","1579252962","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","RENTON, WA","145.22412914611","102","195.043527607591"
"veh-25693042","25693042","MILWAUKIE, OR","UNION GAP, WA","","1570837653","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","SEATTLE, WA","171.050244199486","155","147.11404517794"
"veh-25693042","25693042","MILWAUKIE, OR","UNION GAP, WA","","1579239923","EVERGREEN SHIPPERS LLC1","509-321-4382","PARKER, WA","VANCOUVER, WA","37.2891992990916","231","279.922744827072"
