_id_|RATE POSTED|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|Origin State|DEST CITY|Dest State|Weight
1557288923|800|PDX FREIGHT LOGISTICS LLC|503-303-0400|FVR|2020-08-05|portland|or|portland|OR|40000
1570837653|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|SEATTLE|WA|40000
1574088799||TOTAL QUALITY LOGISTICS LLC|800-580-3101|V|2020-08-05|Algona|WA|Puyallup|WA|40000
1575170923||PACWEST FREIGHT|360-773-8159|V|2020-08-05|Portland|OR|Portland|OR|40000
1575231355|725|Client Advantage Logistics LLC|702-985-2254|VVR|2020-08-05|Hermiston|OR|Seattle|WA|40000
1575231356|675|Client Advantage Logistics LLC|702-985-2254|VVR|2020-08-05|Hermiston|OR|Portland|OR|40000
1578170676|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|FEDERAL WAY|WA|40000
1578170745|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|AUBURN|WA|40000
1578171201|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|ISSAQUAH|WA|40000
1578826309|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|LACEY|WA|40000
1579239923|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|VANCOUVER|WA|40000
1579245675|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|MCMINNVILLE|OR|40000
1579252962|400|EVERGREEN SHIPPERS LLC1|509-321-4382|FSDV|2020-08-05|PARKER|WA|RENTON|WA|40000
1581661014||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581661018||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581661024||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581661053||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581661060||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581661063||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581663514||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581663518||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581663524||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581663553||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581663560||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581663563||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581666014||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581666018||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581666024||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581666053||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581666060||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581666063||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581668514||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581668518||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581668524||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|LONGVIEW|WA|Toppenish|WA|40000
1581668553||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581668560||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
1581668563||TRUCKSTOP.COM|208-401-6470|VR|2020-08-05|Olympia|WA|Toppenish|WA|40000
