_id_|RATE POSTED|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|Origin State|DEST CITY|Dest State|Weight
1|$549|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|HILLSBORO|OR|44000
2|$699|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|SALEM|OR|44000
3|$549|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|CLACKAMAS|OR|44000
4|$699|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|ALBANY|OR|44000
5|$549|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|BEAVERTON|OR|44000
6|$699|KNIGHT -|800-477-8025|VR|2020-08-06|SUMNER|WA|EUGENE|OR|44000
7|$400|MANNING'|800-228-2761|V|2020-08-06|WASHOUGAL|WA|REDMOND|OR|15000
8||FAK INC|720-880-1527|V|2020-08-06|BELLEVUE|WA|PORTLAND|OR|
9|$420|CHOPTANK|800-568-2240|V|2020-08-06|RENTON|WA|TACOMA|WA|
10|$375|COYOTE L|773-799-2118|V|2020-08-06|RENTON|WA|CENTRALIA|WA|41900
11||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|SALEM|OR|45581
12||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|43927
13||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|HAPPY VALLEY|OR|45007
14||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|GRESHAM|OR|43819
15||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|SALEM|OR|43495
16||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|45007
17||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|45007
18||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|45007
19||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|45007
20|$537|USA TRUC|253-765-2075|V|2020-08-06|KENT|WA|TROUTDALE|OR|33315
21||USA TRUC|253-765-2075|V|2020-08-06|PUYALLUP|WA|PORTLAND|OR|45007
22||EDGE LOG|312-319-4766|VR|2020-08-06|TACOMA|WA|PORTLAND|OR|45007
23||SCOTT LO|706-314-0500|V|2020-08-06|WASHOUGAL|WA|THE DALLES|OR|5000
24||SCOTT LO|706-314-0500|V|2020-08-06|WASHOUGAL|WA|SHERWOOD|OR|5000
25||SCOTT LO|706-314-0500|VF|2020-08-06|SHELTON|WA|EUGENE|OR|42000
26||SCOTT LO|706-314-0500|VF|2020-08-06|SHELTON|WA|EUGENE|OR|42000
27||NT LOGIS|469-362-5050|VR|2020-08-06|KENT|WA|WARRENTON|OR|43325
28||NT LOGIS|469-362-5050|VR|2020-08-06|KENT|WA|VANCOUVER|WA|43987
29||TA SERVI|205-702-6809|VR|2020-08-06|KENT|WA|PORTLAND|OR|43500
30|$700|COWAN SY|800-303-7974|V|2020-08-06|SEATTLE|WA|ST HELENS|OR|44000
31|$600|COWAN SY|929-201-2607|V|2020-08-06|SEATTLE|WA|ST HELENS|OR|44000
32|$2,990|LANDSTAR|904-290-8893|V|2020-08-06|TACOMA|WA|TACOMA|WA|20000
33||NYC FREI|425-486-5126|FVR|2020-08-06|TACOMA|WA|TUALATIN|OR|6455
34|$450|FAK INC|402-779-5762|VR|2020-08-06|BELLEVUE|WA|PORTLAND|OR|44000
35||C H ROBI|833-428-5247|V|2020-08-06|DUPONT|WA|CLACKAMAS|OR|19482
36||SCOTT LO|706-314-0500|V|2020-08-06|WASHOUGAL|WA|SHERWOOD|OR|5000
37|$500|THOMAS &|458-210-3520|V|2020-08-06|MERLIN|OR|SPRINGFIELD|OR|48000
38|$300|PAC RIM|541-879-3061|VR|2020-08-06|VANCOUVER|WA|CENTRALIA|WA|42000
39||WJW ASSO|469-481-2802|V|2020-08-06|WEED|CA|CENTRALIA|WA|41796
40||WJW ASSO|469-481-2802|V|2020-08-06|WEED|CA|CENTRALIA|WA|41796
41||INTERNAT|800-652-1682|VR|2020-08-06|REDDING|CA|PORTLAND|OR|42751
42||INTERNAT|800-652-1682|VR|2020-08-06|MEDFORD|OR|PORTLAND|OR|42751
43||ENGLAND|800-321-5966|VR|2020-08-06|BURBANK|WA|WILSONVILLE|OR|41774
44||ENGLAND|800-321-5966|VR|2020-08-06|BURBANK|WA|WILSONVILLE|OR|41852
45||ENGLAND|800-321-5966|VR|2020-08-06|BURBANK|WA|WILSONVILLE|OR|41105
46||ENGLAND|800-321-5966|VR|2020-08-06|BURBANK|WA|WILSONVILLE|OR|42279
47||ENGLAND|800-321-5966|VR|2020-08-06|BURBANK|WA|WILSONVILLE|OR|
48|$500|COVENANT|423-702-2844|VR|2020-08-06|SELAH|WA|WOODBURN|OR|
49|$500|COVENANT|423-702-2844|VR|2020-08-06|SELAH|WA|WOODBURN|OR|
50||MX LOGIS|541-816-4376|V|2020-08-06|SELAH|WA|FOREST GROVE|OR|42000
51||MX LOGIS|541-816-4376|V|2020-08-06|SELAH|WA|FOREST GROVE|OR|42000
52||SCHNEIDE|800-558-3957|V|2020-08-06|WALLOWA|OR|CLACKAMAS|OR|42000
53||TOTAL QU|800-580-3101|VR|2020-08-06|OLDTOWN|ID|DAYTON|OR|42000
54||TOTAL QU|800-580-3101|VR|2020-08-06|OLDTOWN|ID|MCMINNVILLE|OR|42000
55||TOTAL QU|800-580-3101|VR|2020-08-06|SPOKANE|WA|DAYTON|OR|42000
56||TOTAL QU|800-580-3101|VR|2020-08-06|OLDTOWN|ID|PORTLAND|OR|42000
57||TOTAL QU|800-580-3101|VR|2020-08-06|OLDTOWN|ID|DAYTON|OR|42000
