Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
"veh-25695305","25695305","PORTLAND, OR","ANCHORAGE, AK","","1580934373","PANHANDL","208-263-4603","HAYDEN, ID","WOODBURN, OR","108.553817092721","265","466.133162497256"
"veh-25698012","25698012","MILWAUKIE, OR","HAYDEN, ID","","1575231356","Client A","702-985-2254","Hermiston, OR","Portland, OR","20.1436613767134","120","611.710479575478"
"veh-25698015","25698015","MILWAUKIE, OR","SPOKANE, WA","","1568164068","EVERGREE","509-321-4382","kennewick, wa","portland, or","7.31417848310488","115","403.495936056603"
"veh-25698027","25698027","PORTLAND, OR","FAIRBANKS, AK","","1568366365","SHASTINA","541-830-8585","LEWISTON, ID","THE DALLES, OR","88.6736177563473","317","290.966464380843"
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","1575767048","SHASTINA","541-830-8585","LEWISTON, ID","THE DALLES, OR","88.6736177563473","317","290.966464380843"
"veh-25698013","25698013","MILWAUKIE, OR","PORTLAND (AB), OR","","1580477324","AAA LOGI","561-249-4680","lyle, wa","rainier, or","224.709508245616","489","73.7987802701728"
"veh-25698028","25698028","PORTLAND, OR","ANCHORAGE, AK","","1579595969","AAA LOGI","561-249-4680","Lyle, Wa","Rainier, Or","95.2502268010489","349","272.667399041429"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","1576493116","EVERGREE","509-321-4382","parker, wa","bremerton, wa","181.799371170791","381","210.000742018467"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","1576493113","EVERGREE","509-321-4382","parker, wa","bremerton, wa","181.799371170791","381","210.000742018467"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","1576495133","EVERGREE","509-321-4382","parker, wa","longview, wa","64.3885070898629","246","243.005561633962"
"veh-25698031","25698031","PORTLAND, OR","ARLINGTON, WA","","1576495132","EVERGREE","509-321-4382","parker, wa","longview, wa","187.064883741161","449","31.3927705187634"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","1579239959","EVERGREE","509-321-4382","PARKER, WA","VANCOUVER, WA","42.2539674649235","458","199.305651724724"
"veh-25694387","25694387","MILWAUKIE, OR","ANCHORAGE, AK","","1554490885","EVERGREE","509-321-4382","ponderay, id","portland, or","133.971068885382","312","539.16213871525"
"veh-25698014","25698014","MILWAUKIE, OR","PORTLAND (MALETIS, OR","","1545743500","ONE HORN","435-229-6077","Redding, CA","Portland, OR","667.059167111984","1109","127.639516141192"
"veh-25698011","25698011","MILWAUKIE, OR","PORTLAND (MALETIS, OR","","1568504419","BROTHERS","541-727-7799","Redding, CA","Portland, OR","667.059167111984","1109","97.6395161411924"
"veh-25698011","25698011","MILWAUKIE, OR","PORTLAND (MALETIS, OR","","1571884252","AMERICAN","541-826-5277","REDDING, CA","PORTLAND, OR","667.059167111984","1109","147.639516141192"
"veh-25689541","25689541","PORTLAND, OR","WARRENTON, OR","","1562783023","PDX FREI","503-303-0400","salem, or","puyallup, wa","353.56667950837","609","82.2273181801235"
"veh-25698029","25698029","PORTLAND, OR","BELLINGHAM, WA","","1548734089","LANDSTAR","832-303-6234","Tacoma, WA","Eugene, OR","261.583009183889","508","24.0307158296775"
"veh-25689560","25689560","PORTLAND, OR","CLE ELUM, WA","","1548734101","LANDSTAR","832-303-6234","Tacoma, WA","Portland, OR","44.4169659612015","282","354.715980165782"
