[[ob_order_id]]|shipment_id|origin_ib|destination_ib|pick_up_date_time_ib|delivery_date_time_ib|origin_ob|destination_ob|origin_ob_geo|destination_ob_geo|pick_up_date_time_ob|delivery_date_time_ob|client_name|freight_rate|benefit|state|radius|equipment_type|status|cdty_cd|srvc_cd|carr|pull_tm|schd_drop|contact|weight|email|quantity|cube|total_time|incremental_time|incremental_distance|expense
|25689541|PORTLAND, OR|WARRENTON, OR|06.08.2020 09:00:01|06.08.2020 10:53:23|MEDFORD, OR|PORTLAND, OR|42.334496;-122.83547|45.580557;-122.374776|06.08.2020 20:39:24|07.08.2020 02:49:23|INTERNAT|$1738|782|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 10:53:23|800-652-1682|42751|non|non|non|19:18:20|902|558|956
|25689560|PORTLAND, OR|CLE ELUM, WA|06.08.2020 09:00:01|06.08.2020 14:15:42|SUMNER, WA|CLACKAMAS, OR|47.196364;-122.1887|45.416785;-122.52859|06.08.2020 17:43:03|06.08.2020 21:37:50|KNIGHT -|$549|465|OR|75-200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 14:15:42|800-477-8025|44000|non|non|non|13:49:07|167|25|84
|25693055|PORTLAND, OR|WARRENTON, OR|06.08.2020 09:00:01|06.08.2020 10:53:23|DUPONT, WA|CLACKAMAS, OR|47.088719;-122.64326|45.416785;-122.52859|06.08.2020 16:17:59|06.08.2020 18:47:15|C H ROBI|$500|159|OR|75-200|VAN (V)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 10:53:23|833-428-5247|19482|non|non|non|10:58:32|402|177|341
|25694387|MILWAUKIE, OR|ANCHORAGE, AK|06.08.2020 09:00:01|06.08.2020 15:34:50|WASHOUGAL, WA|SHERWOOD, OR|45.594465;-122.28112|45.354615;-122.850808|06.08.2020 23:17:38|07.08.2020 00:15:12|SCOTT LO|$500|392|OR|200|VAN (V)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 15:34:50|706-314-0500|5000|non|non|non|16:46:08|186|39|108
|25695305|PORTLAND, OR|ANCHORAGE, AK|06.08.2020 09:00:01|06.08.2020 15:34:50|SPOKANE, WA|DAYTON, OR|47.653568;-117.431742|45.211339;-123.08114|06.08.2020 17:14:27|06.08.2020 23:59:00|TOTAL QU|$500|361|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 15:34:50|800-580-3101|42000|non|non|non|16:45:37|186|66|139
|25698011|MILWAUKIE, OR|PORTLAND (MALETIS, OR|06.08.2020 09:00:01|06.08.2020 09:18:04|WASHOUGAL, WA|THE DALLES, OR|45.594465;-122.28112|45.594257;-121.18944|06.08.2020 11:25:34|06.08.2020 12:57:27|SCOTT LO|$500|195|OR|75|VAN (V)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 09:18:04|706-314-0500|5000|non|non|non|06:46:19|340|164|305
|25698012|MILWAUKIE, OR|HAYDEN, ID|06.08.2020 09:00:01|06.08.2020 16:16:06|OLDTOWN, ID|PORTLAND, OR|48.168577;-117.02483|45.580557;-122.374776|06.08.2020 18:45:02|07.08.2020 01:59:29|TOTAL QU|$500|363|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 16:16:06|800-580-3101|42000|non|non|non|18:28:26|206|58|137
|25698013|MILWAUKIE, OR|PORTLAND (AB), OR|06.08.2020 09:00:01|06.08.2020 09:35:30|WASHOUGAL, WA|SHERWOOD, OR|45.594465;-122.28112|45.354615;-122.850808|06.08.2020 11:39:56|06.08.2020 12:37:30|SCOTT LO|$500|350|OR|75|VAN (V)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 09:35:30|706-314-0500|5000|non|non|non|05:08:26|208|69|150
|25698015|MILWAUKIE, OR|SPOKANE, WA|06.08.2020 09:00:01|06.08.2020 15:34:50|BURBANK, WA|WILSONVILLE, OR|46.191158;-118.87987|45.308105;-122.77266|06.08.2020 19:52:09|07.08.2020 00:41:55|ENGLAND|$500|357|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 15:34:50|800-321-5966||non|non|non|17:12:39|213|62|143
|25698027|PORTLAND, OR|FAIRBANKS, AK|06.08.2020 09:00:01|06.08.2020 15:34:50|SUMNER, WA|SALEM, OR|47.196364;-122.1887|44.965541;-123.006606|06.08.2020 22:13:34|07.08.2020 02:30:02|KNIGHT -|$699|369|OR|200|VAN (VR)|ALL|DRY|#DAY CAB#|#HTN#|06.08.2020 09:00:01|06.08.2020 15:34:50|800-477-8025|44000|non|non|non|19:29:15|349|182|330
