Srce|Shipnum|Shpd_Dt|Origin|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles
TMS|25702195|2020-08-07|PORT|DRY|PORTLAND|OR|97230|PUYALLUP|WA|98371|145
TMS|25702196|2020-08-07|PORT|DRY|PORTLAND|OR|97230|PENDLETON|OR|97801|207
TMS|25702197|2020-08-07|PORT|DRY|PORTLAND|OR|97230|ANCHORAGE|AK|98402|161
TMS|25704314|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|MEDFORD|OR|97501|271
TMS|25705307|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|UNION GAP|WA|98903|178
TMS|25705308|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|RENTON|WA|98057|172
TMS|25705309|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|RENTON|WA|98057|172
TMS|25705310|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|EUGENE|OR|97402|108
TMS|25705311|2020-08-07|ORMI|DRY|MILWAUKIE|OR|97222|ARLINGTON|WA|98223|224
TMS|25705321|2020-08-07|PORT|DRY|PORTLAND|OR|97230|EUGENE|OR|97402|111
TMS|25705322|2020-08-07|PORT|DRYDRAUGHT|PORTLAND|OR|97230|ANCHORAGE|AK|98402|161
