Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25544664|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25632348|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25634930|21-Jul-20|HTN|31712|DRY|HOUSTON|TX|77029|BATON ROUGE|LA|70809|268||2020-07-21|29.760794|-95.26043|30.403341|-91.08035|FALSE
TMS|25636970|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25636972|21-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-21|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25639693|21-Jul-20|HTN|54215|DRY|HOUSTON|TX|77029|CORPUS CHRISTI|TX|78406|207||2020-07-21|29.760794|-95.26043|27.776304|-97.51253|FALSE
TMS|25640007|21-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85||2020-07-21|29.760794|-95.26043|30.065029|-94.18031|FALSE
TMS|25640009|21-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85||2020-07-21|29.760794|-95.26043|30.065029|-94.18031|FALSE
TMS|25640010|21-Jul-20|HTN|44207|DRY|HOUSTON|TX|77029|BEAUMONT|TX|77707|85||2020-07-21|29.760794|-95.26043|30.065029|-94.18031|FALSE
TMS|25642132|21-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43||2020-07-21|29.760794|-95.26043|29.389583|-94.99167|FALSE
TMS|25642181|21-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43||2020-07-21|29.760794|-95.26043|29.389583|-94.99167|FALSE
TMS|25642216|21-Jul-20|HTN|60320|DRY|HOUSTON|TX|77029|EL DORADO|AR|71730|326||2020-07-21|29.760794|-95.26043|33.218456|-92.64911|FALSE
TMS|25642222|21-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43||2020-07-21|29.760794|-95.26043|29.389583|-94.99167|FALSE
TMS|25642296|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25642309|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25642311|21-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-21|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25642318|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25642326|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25642333|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25642355|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25642377|21-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-21|29.760794|-95.26043|32.828128|-96.84612|FALSE
