Vehicle|ShipmentId|Backhaul Origin|Backhaul Destination||MatchId|ShipperName|ShipperContact|Match Origin|Match Destination|Inc. miles|Inc. Minutes|Benefit|||Inc Miles|Inc Minutes|Benefit
veh-25544664|25544664|HOUSTON, TX|CORPUS CHRISTI, TX||25544664-2|LANDSTAR|903-965-9800|BISHOP, TX|BAYTOWN, TX|99.031279903563|249|621.139089713796||Match 1|3007.03331800614|11107|32909.7953514194
veh-25544664||||||||||||||Match 2|1667.88062186983|5580|15556.2208661936
veh-25544664||||||||||||||Match 3|0|0|0
veh-25544664||||||||||||||Match 4|0|0|0
veh-25544664||||||||||||||Match 5|0|0|0
veh-25632348|25632348|HOUSTON, TX|FORT WORTH, TX||25632348-71|ASCENT G|800-572-6267|BURLESON, TX|HOUSTON, TX|16.0326593510383|152|612.022795299108|||||
veh-25632348|25632348|HOUSTON, TX|FORT WORTH, TX||25632348-29|ROAR LOG|716-775-6208|FORT WORTH, TX|BROOKSHIRE, TX|37.3227534268706|165|565.619150956293|||||
veh-25632348|||||||||||||||||
veh-25632348|||||||||||||||||
veh-25632348|||||||||||||||||
veh-25634930|||||||||||||||||
veh-25634930|||||||||||||||||
veh-25634930|||||||||||||||||
veh-25634930|||||||||||||||||
veh-25634930|||||||||||||||||
veh-25636970|25636970|HOUSTON, TX|FORT WORTH, TX||25636970-72|ASCENT G|800-572-6267|BURLESON, TX|HOUSTON, TX|16.0326593510383|152|612.022795299108|||||
veh-25636970|||||||||||||||||
veh-25636970|||||||||||||||||
veh-25636970|||||||||||||||||
veh-25636970|||||||||||||||||
veh-25636972|25636972|HOUSTON, TX|FORT WORTH, TX||25636972-69|ASCENT G|800-572-6267|BURLESON, TX|HOUSTON, TX|16.0326593510383|152|612.022795299108|||||
veh-25636972|||||||||||||||||
veh-25636972|||||||||||||||||
veh-25636972|||||||||||||||||
veh-25636972|||||||||||||||||
veh-25639693|||||||||||||||||
veh-25639693|||||||||||||||||
veh-25639693|||||||||||||||||
veh-25639693|||||||||||||||||
veh-25639693|||||||||||||||||
veh-25640007|||||||||||||||||
veh-25640007|||||||||||||||||
veh-25640007|||||||||||||||||
veh-25640007|||||||||||||||||
veh-25640007|||||||||||||||||
veh-25640009|||||||||||||||||
veh-25640009|||||||||||||||||
veh-25640009|||||||||||||||||
veh-25640009|||||||||||||||||
veh-25640009|||||||||||||||||
veh-25640010|||||||||||||||||
veh-25640010|||||||||||||||||
veh-25640010|||||||||||||||||
veh-25640010|||||||||||||||||
veh-25640010|||||||||||||||||
veh-25642132|25642132|HOUSTON, TX|TEXAS CITY, TX||25642132-56|GLOBALTR|855-444-6608|TEXAS CITY, TX|GONZALES, TX|291.686032783626|416|18.8078146486547|||||
veh-25642132|||||||||||||||||
veh-25642132|||||||||||||||||
veh-25642132|||||||||||||||||
veh-25642132|||||||||||||||||
veh-25642181|25642181|HOUSTON, TX|TEXAS CITY, TX||25642181-57|GLOBALTR|855-444-6608|TEXAS CITY, TX|GONZALES, TX|291.686032783626|416|18.8078146486547|||||
veh-25642181|||||||||||||||||
veh-25642181|||||||||||||||||
veh-25642181|||||||||||||||||
veh-25642181|||||||||||||||||
veh-25642216|||||||||||||||||
veh-25642216|||||||||||||||||
veh-25642216|||||||||||||||||
veh-25642216|||||||||||||||||
veh-25642216|||||||||||||||||
veh-25642222|||||||||||||||||
veh-25642222|||||||||||||||||
veh-25642222|||||||||||||||||
veh-25642222|||||||||||||||||
veh-25642222|||||||||||||||||
veh-25642296|25642296|HOUSTON, TX|DALLAS, TX||25642296-101|AS LOGIS|513-869-3182|DALLAS, TX|HOUSTON, TX|9.18264630221085|138|625.716477363391|||||
veh-25642296|25642296|HOUSTON, TX|DALLAS, TX||25642296-132|HUB HIGH|844-887-4582|FLOWER MOUND, TX|HOUSTON, TX|55.9713919992046|191|563.051090774272|||||
veh-25642296|||||||||||||||||
veh-25642296|||||||||||||||||
veh-25642296|||||||||||||||||
veh-25642309|||||||||||||||||
veh-25642309|||||||||||||||||
veh-25642309|||||||||||||||||
veh-25642309|||||||||||||||||
veh-25642309|||||||||||||||||
veh-25642311|||||||||||||||||
veh-25642311|||||||||||||||||
veh-25642311|||||||||||||||||
veh-25642311|||||||||||||||||
veh-25642311|||||||||||||||||
