_id_|RATE PER MILE|RATE POSTED|MARKET RATE|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|DIST FROM ORIGIN|DEST CITY|DISTANCE FROM DESTINATION|WEIGHT|MILES
1||$550||AMC FREI|915-600-5093|V|Jul-22|ABILENE|0|CORSICANA|176|44000 |233
2||$500||COYOTE L|773-799-2118|V|Jul-22|ARLINGTON|0|TEMPLE|164|42797 |131
3||$1,000||MAX TRAN|423-903-0757|V|Jul-22|ARLINGTON|0|LAKE CHARLES|147|15000 |357
4||$600||RED RIVE|817-697-4310|VR|Jul-22|ARLINGTON|0|FLINT|190|9280 |130
5||||TANDEM L|512-388-9433|V|Jul-22|AUSTIN|0|HOUSTON|0|35000 |162
6||$650||SMARTWAY|816-398-7818|VR|Jul-22|BAYTOWN|0|NEW LONDON|191|40500 |208
7||$450||RECOUP I|732-744-1411|V|DAILY|BROWNSVILLE|0|HOUSTON|0|45000 |356
8||||LANDSTAR|919-935-0995|V|Jul-22|BROWNWOOD|0|WACO|181|43000 |122
9||||WORLDWID|888-956-7447|V|Jul-22|BURNET|0|BROOKSHIRE|35|12000 |184
10||$500||BEST LOG|877-614-2176|V|Jul-22|CARROLLTON|0|TEMPLE|164|44000 |143
11||||LOGISTIC|214-770-3118|V|Jul-22|CARROLLTON|0|COLLEGE STATION|90|17000 |195
12||||LOGISTIC|214-770-3118|V|Jul-22|CARROLLTON|0|COLLEGE STATION|90|17000 |195
13||$200||COYOTE L|773-799-2118|VR|Jul-22|CHANNELVIEW|0|HOUSTON|0|39289 |24
14||||C H ROBI|833-428-5247|V|Jul-22|CLEBURNE|0|BRENHAM|70|11505 |185
15||||WORLDWID|888-956-7447|V|Jul-22|COPPELL|0|HOUSTON|0|29827 |261
16||||BRIDGER|406-586-0648|V|Jul-22|COPPELL|0|HOUSTON|0|25000 |261
17||||BRIDGER|406-586-0648|VR|Jul-22|COPPELL|0|HOUSTON|0|25000 |261
18||$600||CARGOBOT|305-749-5490|VR|Jul-22|COPPELL|0|HOUSTON|0||261
19||$550||DFH TRAN|817-367-7001|V|Jul-22|COPPELL|0|TEMPLE|164||149
20||||BNSF LOG|800-577-3878|V|Jul-22|CORSICANA|0|AUSTIN|158|36000 |177
21||$400||AMINO TR|281-763-7403|V|Jul-22|CORSICANA|0|TEMPLE|164|40000 |110
22||$450||AMINO TR|281-763-7403|V|Jul-22|CORSICANA|0|TEMPLE|164|40000 |110
23||||MANDUJAN|432-940-9968|VV|Jul-22|COYANOSA|0|HOUSTON|0||537
24||$450||TA SERVI|888-502-8639|V|Jul-22|CROSBY|0|MEXIA|162|44500 |180
25||||INTERSTA|727-822-9999|VR|Jul-22|DALLAS|0|HOUSTON|0||240
26||$550||COYOTE L|773-799-2118|V|Jul-22|DALLAS|0|HOUSTON|0|40000 |240
27||$800||A 2 Z TR|972-694-0004|VR|Jul-22|DALLAS|0|HOUSTON|0|30000 |240
28||||A 2 Z TR|972-694-0004|VR|Jul-22|DALLAS|0|HOUSTON|0|41000 |240
29||$600||RED RIVE|817-697-4310|V|Jul-22|DALLAS|0|HOUSTON|0|44000 |240
30||||SPARTAN|312-605-1657|VR|Jul-22|DALLAS|0|HOUSTON|0||240
31||||SCHNEIDE|800-558-3957|V|Jul-22|DALLAS|0|HOUSTON|12|42500 |246
32||||ABOUND L|813-320-0499|VR|Jul-22|DALLAS|0|HOUSTON|0|25000 |240
33||$600||CARGOBOT|305-749-5490|VR|Jul-22|DALLAS|0|HOUSTON|0||240
34||||SCOTT LO|706-314-0500|V|Jul-22|DALLAS|0|SEALY|47|25000 |240
35||||REDWOOD|312-698-8109|V|Jul-22|DALLAS|0|SAN MARCOS|175||226
36||$600||TA SERVI|317-419-5011|V|Jul-22|DALLAS|0|HOUSTON|0|40000 |240
37||||SPARTAN|312-605-8600|VR|Jul-22|DALLAS|0|HOUSTON|0||240
38||||AMINO TR|817-440-2450|V|Jul-22|DALLAS|0|HOUSTON|0||240
39||||PLS LOGI|813-518-4955|V|Jul-22|DALLAS|0|STAFFORD|14||258
40||$450||RED RIVE|817-697-4310|V|Jul-22|DALLAS|0|HUMBLE|21|20000 |238
41||$500||RED RIVE|817-697-4310|V|Jul-22|DALLAS|0|HOUSTON|0|26000 |240
42||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
43||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
44||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
45||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
46||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
47||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
48||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
49||||LINQ TRA|800-975-4813|VR|Jul-22|DENTON|0|HOUSTON|0|25000 |278
50||||BRIDGER|406-586-0648|V|Jul-22|DONNA|0|TYLER|197|35000 |531
51||||SCHNEIDE|800-558-3957|V|Jul-22|DONNA|0|HOUSTON|14|40000 |361
52||||TRINITY|806-590-8102|VR|Jul-22|EDINBURG|0|HOUSTON|0|40600 |338
53||||XPO LOGI|855-744-7976|V|Jul-22|EL PASO|0|ROSENBERG|30|39602 |726
54||||DIRECT T|732-515-6116|V|Jul-22|EL PASO|0|HOUSTON|0|20000 |747
55||||LANDSTAR|718-701-9018|V|Jul-22|EL PASO|0|HOUSTON|0|9500 |747
56||||LANDSTAR|210-998-6321|V|Jul-22|EL PASO|0|HOUSTON|0|10000 |747
57||||LANDSTAR|830-428-0073|V|Jul-22|EL PASO|0|HUMBLE|21|10000 |764
58||||LANDSTAR|830-428-0073|V|Jul-22|EL PASO|0|HUMBLE|21|10000 |764
59||||AMERICAN|716-337-5000|V|Jul-22|EL PASO|0|HOUSTON|0|42000 |747
60||||AVANZ EN|915-315-1487|V|Jul-22|EL PASO|0|HOUSTON|0||747
61||$1,100||AMINO TR|972-807-5003|V|Jul-22|EL PASO|0|HOUSTON|0|42000 |747
62||||MBR TRAN|816-277-0870|V|Jul-22|EL PASO|0|HOUSTON|0|10000 |747
63||$1,000||TRI STAR|713-631-1095|VR|Jul-22|EL PASO|0|HOUSTON|0|20000 |747
64||||MODE TRA|844-385-1034|V|Jul-22|EL PASO|0|HOUSTON|0|42000 |747
65||||SUN CITY|915-593-5900|VA|Jul-22|EL PASO|0|SAN ANTONIO|195||552
66||$1,200||AAFG LLC|5126650995|V|Jul-22|EL PASO|0|HOUSTON|0|45000 |747
67||$1,200||TRI STAR|713-631-1095|VR|Jul-22|EL PASO|0|HOUSTON|0|20000 |747
68||||SCHNEIDE|800-558-3957|V|Jul-22|EL PASO|0|HOUSTON|18|42223 |754
69||||C H ROBI|833-428-5247|V|Jul-22|FAIRFIELD|0|BASTROP|129|21333 |156
70||$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|0|SEALY|47|9175 |242
71||$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|0|HOUSTON|0|40353 |261
72||$717||CHOPTANK|800-568-2240|VR|Jul-22|FORT WORTH|0|SEALY|47|38195 |242
73||||COYOTE L|773-799-2118|V|Jul-22|FORT WORTH|0|HOUSTON|0|42003 |261
74||$600||CARGOBOT|305-749-5490|VR|Jul-22|FORT WORTH|0|HOUSTON|0||261
75||||PATHMARK|901-362-1555|VR|Jul-22|FORT WORTH|0|HOUSTON|0|43817 |261
76||||ROAR LOG|716-775-6208|VR|Jul-22|FORT WORTH|0|DAYTON|40||291
77||||C H ROBI|833-428-5247|V|Jul-22|FORT WORTH|0|HOUSTON|0|39939 |261
78||||SCHNEIDE|800-558-3957|V|Jul-22|FORT WORTH|0|MISSOURI CITY|14|35000 |278
79||||AMERICAN|817-249-2990|V|Jul-22|FT WORTH|0|HOUSTON|0|10500 |261
80||$750||TANAGER|210-314-6528|V|Jul-22|FT WORTH|0|HOUSTON|0||261
81||||HARTE-HA|800-234-4487|VR|Jul-22|GRAND PRAIRIE|0|HOUSTON|0|11028 |251
82||||DJM LOGI|773-649-3286|VR|Jul-22|HARLINGEN|0|HOUSTON|0|20180 |331
83||$600||EVEREST|312-423-1895|V|Jul-22|HARLINGEN|0|HOUSTON|0||331
84||$800||R & T TR|800-692-4246|V|Jul-22|HARLINGEN|0|LA PORTE|25||349
85||||NT LOGIS|469-362-5050|VR|Jul-22|HAWKINS|0|AUSTIN|158||285
86||$615||CHOPTANK|800-568-2240|V|Jul-22|HOUSTON|0|TYLER|197|40000 |220
87||||CORNERST|866-420-4388|V|Jul-22|HOUSTON|0|HOUSTON|0|43651 |0
88||||MODE TRA|281-456-2040|V|Jul-22|HOUSTON|0|ANACOCO|187|7745 |220
89||$350||ABSOLUTE|817-782-9073|V|Jul-22|HOUSTON|0|FREEPORT|58|43300 |74
90||$350||ABSOLUTE|817-782-9073|V|Jul-22|HOUSTON|0|CLUTE|52|43300 |70
91||$450||TA SERVI|888-502-8639|V|Jul-22|HOUSTON|0|MEXIA|162|44500 |164
92||||CRST LOG|866-641-5647|V|Jul-22|HOUSTON|0|MAGNOLIA|50|44097 |52
93||$575||US LOGIS|801-707-7266|V|Jul-22|HOUSTON|0|BRONSON|166|2700 |164
94||$500||RED RIVE|817-697-4310|VR|Jul-22|HOUSTON|0|AUSTIN|158|40800 |163
95||$500||RED RIVE|817-697-4310|VR|Jul-22|HOUSTON|0|SAN ANTONIO|195|44239 |197
