[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25639289,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,HA LOGIS,$682,628,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,866-527-1001,15000,non,non,non,11:55:01,141,6,54
,25656083,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,JAS LOGI,$682,628,TX,#N/A,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,210-451-7709,44000,non,non,non,11:55:01,141,6,54
,25663864,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,COWAN SY,$682,628,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,866-385-4203,41900,non,non,non,11:55:01,141,6,54
,25663865,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"GRAND PRAIRIE, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,TOTAL QU,$656,602,TX,#N/A,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,800-580-3101,43000,non,non,non,11:55:01,141,6,54
,25663866,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"GRAND PRAIRIE, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,COYOTE L,$656,602,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,773-799-2118,42003,non,non,non,11:55:01,141,6,54
,25663869,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"GRAND PRAIRIE, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,COYOTE L,$656,602,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,773-799-2118,42003,non,non,non,11:55:01,141,6,54
,25664035,"HOUSTON, TX","HOUSTON (CYPRESS), TX",28.07.2020 09:00:01,28.07.2020 09:35:57,"HOUSTON, TX","AUSTIN, TX",29.83399;-95.434241,30.31536;-97.663293,27.07.2020 11:23:45,27.07.2020 14:02:54,TOTAL QU,$512,14,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 09:35:57,800-580-3101,42000,non,non,non,09:07:52,446,297,498
,25664046,"HOUSTON, TX","TEMPLE, TX",28.07.2020 09:00:01,28.07.2020 12:37:10,"HOLLAND, TX","AUSTIN, TX",30.883556;-97.396,30.31536;-97.663293,28.07.2020 14:25:53,28.07.2020 15:37:54,TOTAL QU,$541,417,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 12:37:10,800-580-3101,,non,non,non,10:42:52,179,55,124
,25664054,"HOUSTON, TX","HOUSTON (CYPRESS), TX",28.07.2020 09:00:01,28.07.2020 09:35:57,"LA PORTE, TX","AUSTIN, TX",29.83399;-95.434241,30.31536;-97.663293,28.07.2020 11:23:45,28.07.2020 14:02:54,TRINITY,$509,11,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 09:35:57,800-315-1407,43500,non,non,non,09:07:52,446,297,498
,25664125,"HOUSTON, TX","DALLAS, TX",28.07.2020 09:00:01,28.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,28.07.2020 15:12:01,28.07.2020 19:29:36,SCHNEIDE,$650,596,TX,#N/A,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,28.07.2020 09:00:01,28.07.2020 13:32:27,800-558-3957,42936,non,non,non,11:55:01,141,6,54
