_id_|RPM|RATE|Market rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
1||||TOTAL QU|800-580-3101|VR|44040|AMARILLO|0|HOUSTON|0|44000|599
2||||SUPPLY C|512-442-9959|V|44040|AMARILLO|0|HUTCHINS|231||377
3||||MALLORY|888-544-6095|V|44040|AMARILLO|0|DALLAS|241|44000|365
4||||KEYSTONE|832-213-7938|V|44039|ARLINGTON|0|ARLINGTON|251|43500|0
5|$2.33|$600.00||BNSF LOG|844-214-4192|V|44040|ARLINGTON|0|HOUSTON|0|44692|256
6||||US TRANS|305-863-8777|V|44040|ARLINGTON|0|HOUSTON|0|9000|256
7||||US XPRES|312-660-2222|V|44040|ARLINGTON|0|SAN ANTONIO|195|10988|277
8|$1.64|$550.00||RED RIVE|817-697-4310|VR|44040|ARLINGTON|0|TYLER|197|41220|117
9|$1.84|$550.00||XPO LOGI|847-234-6360|V|44040|AUSTIN|0|DALLAS|241|42693|196
10||||XPO LOGI|847-234-6360|V|44040|AUSTIN|0|DALLAS|241|42120|196
11||||TOTAL QU|800-580-3101|V|44040|AUSTIN|0|GALVESTON|50|10000|212
12||||DJM LOGI|773-649-3286|VR|44040|BAYTOWN|0|ALLEN|261|14616|285
13||||DJM LOGI|773-649-3286|VR|44040|BAYTOWN|0|FORT WORTH|260|43500|283
14||||ELFS BRO|817-416-8652|V|44040|BEAUMONT|0|WYLIE|255|43000|297
15||||XPO LOGI|855-744-7976|V|44040|BORGER|0|HUTCHINS|231|42851|387
16|$2.39|$500.00||XPO LOGI|855-744-7976|V|44040|BORGER|0|HUTCHINS|231|42851|387
17|$5.21|$250.00||COYOTE L|773-799-2118|V|44040|BRADY|0|LANCASTER|230|42000|209
18||||J H ROSE|956-217-5260|VR|44040|BROWNSVILLE|0|FORT WORTH|260||537
19||||SCHNEIDE|800-558-3957|V|44040|BROWNSVILLE|0|FORT WORTH|260|45000|538
20||||SCHNEIDE|800-558-3957|V|44040|BROWNSVILLE|0|FORT WORTH|260|45000|538
21||||RECOUP I|732-744-1411|V|DAILY|BROWNSVILLE|0|HOUSTON|0|45000|356
22||||TTS LLC|972-924-9919|VR|44040|BRUCEVILLE|0|HOUSTON|0|43000|181
23||||COYOTE L|773-799-2118|V|44039|BRYAN|0|WACO|181|11781|87
24||||MATADOR|877-662-8236|V|44040|BUDA|0|BUDA|167|42500|0
25||||ASCENT G|800-572-6267|VR|44040|BURLESON|0|HOUSTON|0|40998|256
26||||HOGAN LO|800-788-2220|V|44039|CARROLLTON|0|VICTORIA|121|22000|309
27|$2.24|$700.00||VITAL TR|330-983-9962|V|44040|CARROLLTON|0|CORPUS CHRISTI|205|15000|426
28||||VITAL TR|330-983-9962|V|44040|CARROLLTON|0|MANOR|146|15000|208
29||||VITAL TR|330-983-9962|V|44040|CARROLLTON|0|AUSTIN|158||210
30||||C H ROBI|833-428-5247|V|44039|CENTER|0|MARQUEZ|128|8080|0
31||||ARPCO TR|817-328-0000|V|44040|CLARKSVILLE|0|HOUSTON|0||299
32|$3.41|$825.00||RYAN TRA|877-577-7925|V|44040|CLARKSVILLE|0|NEW BRAUNFELS|176|12870|386
33||||ARMSTRON|844-825-2705|V|44040|CLEBURNE|0|SCHULENBURG|93||211
34|$2.40|$575.00||VELOCITY|469-324-1034|VR|44040|CONROE|0|LONGVIEW|208|44150|188
35||||SCHNEIDE|800-558-3957|V|44040|COPPELL|0|ARLINGTON|251|7310|26
36||||RYAN TRA|888-492-8107|VR|44040|CORPUS CHRISTI|0|FORT WORTH|260|44000|406
37|$1.73|$475.00||TOTAL QU|800-580-3101|V|44040|CORPUS CHRISTI|0|SHERMAN|300|14000|477
38||||TOTAL QU|800-580-3101|V|44040|CORPUS CHRISTI|0|SHERMAN|300|14000|477
39||||GO TO TR|847-508-7965|V|44040|COYANOSA|0|HOUSTON|0||537
40|$2.59|$1,000.00||MANDUJAN|432-940-9968|VR|DAILY|COYANOSA|0|SAN ANTONIO|195||342
41|$2.36|$500.00||TANDEM L|512-388-9433|V|44040|CREEDMOOR|0|FORNEY|239|44000|234
42|$3.14|$700.00||TOTAL QU|800-580-3101|VR|44039|DALLAS|0|LONGVIEW|208|42000|129
43||||J H ROSE|956-217-5263|V|44039|DALLAS|0|TEMPLE|164||129
44||||TOTAL QU|800-580-3101|VR|44039|DALLAS|0|CLEBURNE|239|43000|51
45||||WORLDWID|515-273-3140|V|44039|DALLAS|0|TEMPLE|164||129
46||||J H ROSE|956-217-5263|VR|44039|DALLAS|0|TEMPLE|164||129
47|$2.50|$600.00||DJM LOGI|773-649-3286|V|44039|DALLAS|0|FORT WORTH|260|6400|33
48||||REDHAWK|614-487-8500|V|44040|DALLAS|0|BLUM|226|3909|67
49|$2.10|$700.00||TOTAL QU|800-580-3101|V|44040|DALLAS|0|AUSTIN|158||197
50||||TOTAL QU|800-580-3101|V|44040|DALLAS|0|HOUSTON|0||240
51||||ARPCO TR|817-424-5460|VR|44040|DALLAS|0|HOUSTON|0||240
52||||COWAN SY|866-385-4203|V|44040|DALLAS|0|HOUSTON|0|41900|240
53||||BEDROCK|469-238-0320|V|44040|DALLAS|0|HOUSTON|0|44000|240
54||||PLS LOGI|813-518-4955|V|44040|DALLAS|0|STAFFORD|14||258
55||||US LOGIS|817-281-1915|VR|44040|DALLAS|0|ROANOKE|270||31
56|$2.51|$1,100.00||TRINITY|979-732-8434|V|44040|DALLAS|0|BRENHAM|70|33694|208
57||||TOTAL QU|800-580-3101|V|44040|DALLAS|0|WILLS POINT|233|43000|50
58||||COVENANT|423-702-2844|VR|44040|DALLAS|0|HOUSTON|0||240
59||||EPES LOG|866-247-0691|V|44040|DALLAS|0|BROOKSHIRE|35|40240|270
60||||SCHNEIDE|800-558-3957|V|44040|DALLAS|0|HOUSTON|12|42936|246
61||||TOTAL QU|800-580-3101|V|44040|DALLAS|0|KELLER|271||36
62||||JOHN J J|956-351-5117|V|44040|DALLAS|0|AUSTIN|158||197
63||||JOHN J J|956-351-5117|V|44040|DALLAS|0|SAN ANTONIO|195||275
64||||REDWOOD|312-698-8300|V|44040|DALLAS|0|DAISETTA|56||265
65||||REDWOOD|312-698-8300|V|44040|DALLAS|0|HOUSTON|0||240
66||||THIRD CO|512-382-4052|V|44040|DALLAS|0|AUSTIN|158|25000|197
67|$2.92|$700.00||VITAL TR|330-983-9962|V|44040|DALLAS|0|AUSTIN|158||197
68||||ELITE TR|878-999-2876|V|44040|DALLAS|0|SEGUIN|160|45000|247
69||||RYAN TRA|888-492-8107|V|44040|DALLAS|0|PITTSBURG|251|10000|130
70||||SCHNEIDE|800-558-3957|V|44040|DALLAS|0|NEW BRAUNFELS|176|7002|254
71||||SCHNEIDE|800-558-3957|V|44040|DALLAS|0|HOUSTON|12|42500|246
72||||MID AMER|636-226-4770|VR|44040|DAWN|0|LAMPASAS|203||434
73||||ACTION E|715-803-3066|V|44040|DEER PARK|0|LEWISVILLE|261||283
74||||ACTION E|715-803-3066|V|44040|DEER PARK|0|LEWISVILLE|261|42000|283
75||||COYOTE L|773-799-2118|V|44040|DEL RIO|0|HOUSTON|0|42003|348
76||||TOTAL QU|800-580-3101|VR|44040|DENTON|0|CARROLLTON|256|30000|23
77||||ONLINE F|651-468-6868|V|44039|DILLEY|0|KEMP|213|9600|378
78||||TOTAL QU|800-580-3101|V|44040|EAGLE PASS|0|WILLIS|47|44000|380
79||||TOTAL QU|800-580-3101|V|44040|EAGLE PASS|0|SOUTH HOUSTON|12|45000|349
80||||SCHNEIDE|800-558-3957|V|44040|EAGLE PASS|0|CORPUS CHRISTI|205|15736|222
81||||LANDSTAR|347-354-4647|V|44040|EDNA|0|DALLAS|241|42000|296
82|$1.17|$300.00||XPO LOGI|214-937-0032|V|44039|EL PASO|0|HOUSTON|0|44000|747
83||||COYOTE L|773-799-2118|V|44039|EL PASO|0|TYLER|197|19114|733
84||||LOADSTON|575-523-7000|V|44039|EL PASO|0|HOUSTON|0||747
85||||TOTAL QU|800-580-3101|VR|44039|EL PASO|0|HOUSTON|0|35000|747
86||||XPO LOGI|312-854-1281|V|44040|EL PASO|0|WACO|181|3990|638
87||||AVANZ EN|915-315-1487|V|44040|EL PASO|0|SAN ANTONIO|195||552
88||||LIBERTY|8324620903|V|44040|EL PASO|0|HOUSTON|0||747
89||||LOADSTON|575-523-7000|V|44040|EL PASO|0|DALLAS|241||637
90||||TA SERVI|866-653-1549 EX|V|44040|EL PASO|0|GEORGETOWN|167|42000|603
91||||TOTAL QU|800-580-3101|VR|44040|EL PASO|0|HOUSTON|12|35000|747
92||||TOTAL QU|800-580-3101|VR|44040|EL PASO|0|HOUSTON|12|35000|747
93||||C H ROBI|833-428-5247|V|44040|EL PASO|0|WHITEWRIGHT|294|15000|690
94||||C H ROBI|833-428-5247|V|44040|EL PASO|0|KILGORE|199|7531|755
95|$2.71|$1,200.00||A.N. WEB|800-939-9456|V|44040|EL PASO|0|DALLAS|241||637
