[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25664058,"HOUSTON, TX","HOUSTON (CYPRESS), TX",29.07.2020 09:00:01,29.07.2020 09:35:57,"HOUSTON, TX","ENNIS, TX",29.83399;-95.434241,32.334709;-96.633546,29.07.2020 11:23:45,29.07.2020 14:54:08,TRINITY,$900,250,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:35:57,800-210-3000,43651,non,non,non,10:44:04,542,400,650
,25664161,"HOUSTON, TX","HOUSTON (CYPRESS), TX",29.07.2020 09:00:01,29.07.2020 09:35:57,"BAYTOWN, TX","AUSTIN, TX",29.83399;-95.434241,30.31536;-97.663293,29.07.2020 11:23:45,29.07.2020 14:02:54,C H ROBI,$509,11,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:35:57,833-428-5247,45200,non,non,non,09:07:52,446,297,498
,25664169,"HOUSTON, TX","HOUSTON (CYPRESS), TX",29.07.2020 09:00:01,29.07.2020 09:35:57,"BAYTOWN, TX","AUSTIN, TX",29.83399;-95.434241,30.31536;-97.663293,29.07.2020 11:23:45,29.07.2020 14:02:54,C H ROBI,$509,11,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:35:57,833-428-5247,45200,non,non,non,09:07:52,446,297,498
,25664187,"HOUSTON, TX","HOUSTON, TX",29.07.2020 09:00:01,29.07.2020 09:18:47,"HOUSTON, TX","DALLAS, TX",29.83399;-95.434241,32.767268;-96.777626,29.07.2020 11:04:12,29.07.2020 15:16:35,LOADSMAR,$1100,335,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:18:47,917-438-9292,45000,non,non,non,11:40:47,633,472,765
,25664208,"HOUSTON, TX","DALLAS, TX",29.07.2020 09:00:01,29.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,29.07.2020 15:12:01,29.07.2020 19:29:36,CENTRAL,$682,628,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 13:32:27,317-558-9970,41479,non,non,non,11:55:01,141,6,54
,25664214,"HOUSTON, TX","DALLAS, TX",29.07.2020 09:00:01,29.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,29.07.2020 15:12:01,29.07.2020 19:29:36,BLUE LIN,$682,628,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 13:32:27,651-414-0805,40000,non,non,non,11:55:01,141,6,54
,25664219,"HOUSTON, TX","DALLAS, TX",29.07.2020 09:00:01,29.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.767268;-96.777626,29.83399;-95.434241,29.07.2020 15:12:01,29.07.2020 19:29:36,CENTRAL,$425,371,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 13:32:27,317-558-9970,41479,non,non,non,11:55:01,141,6,54
,25670574,"HOUSTON, TX","LONGVIEW, TX",29.07.2020 09:00:01,29.07.2020 13:15:46,"TYLER, TX","HOUSTON, TX",32.411237;-95.289903,29.83399;-95.434241,29.07.2020 15:24:21,29.07.2020 19:26:38,EPES LOG,$604,507,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 13:15:46,855-600-8664,15083,non,non,non,11:52:03,170,35,97
,25670576,"HOUSTON, TX","CONROE, TX",29.07.2020 09:00:01,29.07.2020 09:54:41,"HUTCHINS, TX","HOUSTON, TX",32.644647;-96.71036,29.83399;-95.434241,29.07.2020 14:50:27,29.07.2020 18:58:01,UNIVERSA,$680,49,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:54:41,615-986-7163,40000,non,non,non,11:23:26,544,383,631
,25670589,"HOUSTON, TX","CONROE, TX",29.07.2020 09:00:01,29.07.2020 09:54:41,"HUTCHINS, TX","HOUSTON, TX",32.644647;-96.71036,29.83399;-95.434241,29.07.2020 14:50:27,29.07.2020 18:58:01,UNIVERSA,$680,49,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:54:41,615-986-7163,40000,non,non,non,11:23:26,544,383,631
,25670667,"HOUSTON, TX","HOUSTON, TX",29.07.2020 09:00:01,29.07.2020 09:18:47,"HOUSTON, TX","DALLAS, TX",29.83399;-95.434241,32.767268;-96.777626,29.07.2020 11:04:12,29.07.2020 15:16:35,LOADSMAR,$1083,318,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,29.07.2020 09:00:01,29.07.2020 09:18:47,917-438-9292,45000,non,non,non,11:40:47,633,472,765
