Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25639378,,,,,,,,,,,,,,Match 1,3220.66934271192,5553,4766.04122756741
veh-25639378,,,,,,,,,,,,,,Match 2,-62.8723576124374,125,454.431970720917
veh-25639378,,,,,,,,,,,,,,Match 3,0,0,0
veh-25639378,,,,,,,,,,,,,,Match 4,0,0,0
veh-25639378,,,,,,,,,,,,,,Match 5,0,0,0
veh-25659587,,,,,,,,,,,,,,,,,
veh-25659587,,,,,,,,,,,,,,,,,
veh-25659587,,,,,,,,,,,,,,,,,
veh-25659587,,,,,,,,,,,,,,,,,
veh-25659587,,,,,,,,,,,,,,,,,
veh-25660841,,,,,,,,,,,,,,,,,
veh-25660841,,,,,,,,,,,,,,,,,
veh-25660841,,,,,,,,,,,,,,,,,
veh-25660841,,,,,,,,,,,,,,,,,
veh-25660841,,,,,,,,,,,,,,,,,
veh-25663911,,,,,,,,,,,,,,,,,
veh-25663911,,,,,,,,,,,,,,,,,
veh-25663911,,,,,,,,,,,,,,,,,
veh-25663911,,,,,,,,,,,,,,,,,
veh-25663911,,,,,,,,,,,,,,,,,
veh-25664057,,,,,,,,,,,,,,,,,
veh-25664057,,,,,,,,,,,,,,,,,
veh-25664057,,,,,,,,,,,,,,,,,
veh-25664057,,,,,,,,,,,,,,,,,
veh-25664057,,,,,,,,,,,,,,,,,
veh-25664058,25664058,"HOUSTON, TX","HOUSTON (CYPRESS), TX",,25664058-92,TRINITY,800-210-3000,"HOUSTON, TX","ENNIS, TX",399.826637006475,542,249.705901665693,,,,,
veh-25664058,,,,,,,,,,,,,,,,,
veh-25664058,,,,,,,,,,,,,,,,,
veh-25664058,,,,,,,,,,,,,,,,,
veh-25664058,,,,,,,,,,,,,,,,,
veh-25664059,,,,,,,,,,,,,,,,,
veh-25664059,,,,,,,,,,,,,,,,,
veh-25664059,,,,,,,,,,,,,,,,,
veh-25664059,,,,,,,,,,,,,,,,,
veh-25664059,,,,,,,,,,,,,,,,,
veh-25664064,,,,,,,,,,,,,,,,,
veh-25664064,,,,,,,,,,,,,,,,,
veh-25664064,,,,,,,,,,,,,,,,,
veh-25664064,,,,,,,,,,,,,,,,,
veh-25664064,,,,,,,,,,,,,,,,,
veh-25664111,,,,,,,,,,,,,,,,,
veh-25664111,,,,,,,,,,,,,,,,,
veh-25664111,,,,,,,,,,,,,,,,,
veh-25664111,,,,,,,,,,,,,,,,,
veh-25664111,,,,,,,,,,,,,,,,,
veh-25664161,25664161,"HOUSTON, TX","HOUSTON (CYPRESS), TX",,25664161-156,C H ROBI,833-428-5247,"BAYTOWN, TX","AUSTIN, TX",297.28273702263,446,11.32370364663,,,,,
veh-25664161,,,,,,,,,,,,,,,,,
veh-25664161,,,,,,,,,,,,,,,,,
veh-25664161,,,,,,,,,,,,,,,,,
veh-25664161,,,,,,,,,,,,,,,,,
veh-25664169,25664169,"HOUSTON, TX","HOUSTON (CYPRESS), TX",,25664169-33,C H ROBI,833-428-5247,"BAYTOWN, TX","AUSTIN, TX",297.28273702263,446,11.32370364663,,,,,
veh-25664169,,,,,,,,,,,,,,,,,
veh-25664169,,,,,,,,,,,,,,,,,
veh-25664169,,,,,,,,,,,,,,,,,
veh-25664169,,,,,,,,,,,,,,,,,
veh-25664185,,,,,,,,,,,,,,,,,
veh-25664185,,,,,,,,,,,,,,,,,
veh-25664185,,,,,,,,,,,,,,,,,
veh-25664185,,,,,,,,,,,,,,,,,
veh-25664185,,,,,,,,,,,,,,,,,
veh-25664187,25664187,"HOUSTON, TX","HOUSTON, TX",,25664187-97,LOADSMAR,917-438-9292,"HOUSTON, TX","DALLAS, TX",471.636820062883,633,335.000552325798,,,,,
veh-25664187,,,,,,,,,,,,,,,,,
veh-25664187,,,,,,,,,,,,,,,,,
veh-25664187,,,,,,,,,,,,,,,,,
veh-25664187,,,,,,,,,,,,,,,,,
veh-25664208,25664208,"HOUSTON, TX","DALLAS, TX",,25664208-10,CENTRAL,317-558-9970,"DALLAS, TX","HOUSTON, TX",6.04409260939267,141,628.431970720917,,,,,
veh-25664208,25664208,"HOUSTON, TX","DALLAS, TX",,25664208-163,BLUE LIN,651-414-0805,"DALLAS, TX","HOUSTON, TX",6.04409260939267,141,454.431970720917,,,,,
veh-25664208,,,,,,,,,,,,,,,,,
veh-25664208,,,,,,,,,,,,,,,,,
veh-25664208,,,,,,,,,,,,,,,,,
veh-25664214,25664214,"HOUSTON, TX","DALLAS, TX",,25664214-9,BLUE LIN,651-414-0805,"DALLAS, TX","HOUSTON, TX",6.04409260939267,141,628.431970720917,,,,,
veh-25664214,,,,,,,,,,,,,,,,,
veh-25664214,,,,,,,,,,,,,,,,,
veh-25664214,,,,,,,,,,,,,,,,,
veh-25664214,,,,,,,,,,,,,,,,,
veh-25664219,25664219,"HOUSTON, TX","DALLAS, TX",,25664219-166,CENTRAL,317-558-9970,"DALLAS, TX","HOUSTON, TX",6.04409260939267,141,371.431970720917,,,,,
veh-25664219,,,,,,,,,,,,,,,,,
veh-25664219,,,,,,,,,,,,,,,,,
veh-25664219,,,,,,,,,,,,,,,,,
veh-25664219,,,,,,,,,,,,,,,,,
veh-25664222,,,,,,,,,,,,,,,,,
veh-25664222,,,,,,,,,,,,,,,,,
veh-25664222,,,,,,,,,,,,,,,,,
veh-25664222,,,,,,,,,,,,,,,,,
veh-25664222,,,,,,,,,,,,,,,,,
veh-25664241,,,,,,,,,,,,,,,,,
veh-25664241,,,,,,,,,,,,,,,,,
veh-25664241,,,,,,,,,,,,,,,,,
veh-25664241,,,,,,,,,,,,,,,,,
veh-25664241,,,,,,,,,,,,,,,,,
veh-25664244,,,,,,,,,,,,,,,,,
veh-25664244,,,,,,,,,,,,,,,,,
veh-25664244,,,,,,,,,,,,,,,,,
veh-25664244,,,,,,,,,,,,,,,,,
veh-25664244,,,,,,,,,,,,,,,,,
veh-25664245,,,,,,,,,,,,,,,,,
veh-25664245,,,,,,,,,,,,,,,,,
veh-25664245,,,,,,,,,,,,,,,,,
veh-25664245,,,,,,,,,,,,,,,,,
veh-25664245,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664250,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664256,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25664260,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670451,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670460,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670476,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670518,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670519,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670523,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670533,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670534,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670536,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670545,,,,,,,,,,,,,,,,,
veh-25670546,,,,,,,,,,,,,,,,,
