Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-38,CIRCLE L,260-918-9518,SAN ANTONIO; TX,HOUSTON; TX,4.80693949072291,134,500.19714473428
veh-25675965,25675965,"HOUSTON, TX","DALLAS, TX",,25675965-13,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25675970,25675970,"HOUSTON, TX","AUSTIN, TX",,25675970-36,AMINO TR,281-763-7403,TEMPLE; TX,HOUSTON; TX,79.999254352716,250,470.267546530462
veh-25675972,25675972,"HOUSTON, TX","DALLAS, TX",,25675972-16,C H ROBI,833-428-5247,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25675982,25675982,"HOUSTON, TX","AUSTIN, TX",,25675982-37,TMC LOGI,888-858-6953 X,COLLEGE STATION; TX,HOUSTON; TX,37.040028831695,215,235.486099311933
veh-25675987,25675987,"HOUSTON, TX","BEAUMONT, TX",,25675987-22,TRI-STAT,843-407-7919,MALAKOFF; TX,HOUSTON; TX,336.157058172916,515,56.7280046892929
veh-25675994,25675994,"HOUSTON, TX","DALLAS, TX",,25675994-32,ALLEN LU,800-730-5863,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25675995,25675995,"HOUSTON, TX","DALLAS, TX",,25675995-14,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676002,25676002,"HOUSTON, TX","DALLAS, TX",,25676002-15,ALLEN LU,800-730-5863,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676003,25676003,"HOUSTON, TX","DALLAS, TX",,25676003-12,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676004,25676004,"HOUSTON, TX","DALLAS, TX",,25676004-7,ACTION E,773-832-8600,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676007,25676007,"HOUSTON, TX","DALLAS, TX",,25676007-10,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676008,25676008,"HOUSTON, TX","BEAUMONT, TX",,25676008-21,ACTION E,773-832-8600,MALAKOFF; TX,HOUSTON; TX,336.157058172916,515,56.7280046892929
veh-25676015,25676015,"HOUSTON, TX","DALLAS, TX",,25676015-11,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676016,25676016,"HOUSTON, TX","DALLAS, TX",,25676016-8,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676022,25676022,"HOUSTON, TX","DALLAS, TX",,25676022-6,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,4.75971516273752,139,630.606202774636
veh-25676023,25676023,"HOUSTON, TX","SAN ANTONIO, TX",,25676023-35,TTS LLC,972-924-9919,SAN ANTONIO; TX,HOUSTON; TX,4.80693949072291,134,730.19714473428
veh-25676026,25676026,"HOUSTON, TX","AUSTIN, TX",,25676026-30,AMINO TR,972-982-7330,WACO; TX,HOUSTON; TX,127.99719139523,314,379.552647486962
veh-25676037,25676037,"HOUSTON, TX","BEAUMONT, TX",,25676037-23,TRINITY,806-722-0500,MALAKOFF; TX,HOUSTON; TX,336.157058172916,515,56.7280046892929
veh-25676039,25676039,"HOUSTON, TX","CONROE, TX",,25676039-9,TOTAL QU,800-580-3101,DALLAS; TX,HOUSTON; TX,401.765319944822,557,24.4782557984432
veh-25676040,25676040,"HOUSTON, TX","CONROE, TX",,25676040-5,ONLINE L,800-476-7977,CORSICANA; TX,HOUSTON; TX,293.453838219394,422,140.745804234448
