_id_|RPM|RATE|Market Rate|COMPANY|PHONE|TRLR|PICKUP|ORIGIN CITY|DIST|DESTINATION CITY|DIST|WEIGHT|MILES
1|$2.34|$600||GLOBALTR|877-772-0256|V|2020-07-30|ARLINGTON|21|HOUSTON|0|92100|256
2|$1.96|$500||WATCO SU|913-601-4135|V|2020-07-30|CARROLLTON|16|HOUSTON|0|44000|255
3||||HUB HIGH|412-787-6210|V|2020-07-30|CARROLLTON|16|HOUSTON|0|42000|255
4||||TOTAL QU|800-580-3101|V|2020-07-30|CLEBURNE|53|HOUSTON|0|10000|256
5||||ONLINE L|800-476-7977|VF|2020-07-30|CORSICANA|51|HOUSTON|12|46000|189
6||||TOTAL QU|800-580-3101|V|2020-07-30|DALLAS|0|HOUSTON|0|10000|240
7||||ACTION E|773-832-8600|VF|2020-07-30|DALLAS|0|HOUSTON|0|40000|240
8||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|30000|240
9||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|4|HOUSTON|12||240
10||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|30000|240
11||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|30000|240
12||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|30000|240
13||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|30000|240
14||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS|0|HOUSTON|0|42000|240
15||||ALLEN LU|800-730-5863|V|2020-07-30|DALLAS|0|HOUSTON|0|31536|240
16||||C H ROBI|833-428-5247|V|2020-07-30|DALLAS|0|HOUSTON|0|2769|240
17||||ALLEN LU|800-254-5863|V|2020-07-30|FT WORTH|33|ROSENBERG|30|38354|292
18||||UNIVERSA|615-986-7163|V|2020-07-30|HASLET|37|HOUSTON|0|17287|277
19||||JAS LOGI|210-451-7709|VR|2020-07-30|LANCASTER|16|DAYTON|40|43400|264
20||||LANDSTAR|479-765-0500|V|2020-07-30|LITTLE ELM|30|DICKINSON|33|2000|304
21||||ACTION E|773-832-8600|VF|2020-07-30|MALAKOFF|73|HOUSTON|0|40000|210
22||||TRI-STAT|843-407-7919|FSDV|2020-07-30|MALAKOFF|73|HOUSTON|0||210
23||||TRINITY|806-722-0500|VF|2020-07-30|MALAKOFF|73|HOUSTON|0|45000|210
24||||ACTION E|773-832-8600|VF|2020-07-30|MILLSAP|74|BEAUMONT|86|40000|347
25||||ACTION E|773-832-8600|VF|2020-07-30|MILLSAP|74|HOUSTON|0|40000|304
26||||TRINITY|806-722-0500|VF|2020-07-30|MILLSAP|74|BEAUMONT|86|45000|347
27||||ONLINE L|800-476-7977|VF|2020-07-30|MILLSAP|76|BEAUMONT|92|46000|347
28||||DART ADV|800-880-5873|V|2020-07-30|ROANOKE|29|ROSENBERG|30|21090|302
29||||LANDSTAR|346-330-2444|V|2020-07-30|SUNNYVALE|16|SEALY|47|40000|243
30||||AMINO TR|972-982-7330|V|2020-07-30|WACO|97|HOUSTON|0||184
31||||LINQ TRA|972-573-8610|V|2020-07-30|WYLIE|29|HOUSTON|0|35700|266
32||||ALLEN LU|800-730-5863|V|2020-07-30|DALLAS|0|HOUSTON|0|31536|240
33||||LANDSTAR|479-765-0500|V|2020-07-30|LITTLE ELM|30|DICKINSON|33|2000|304
34||||DART ADV|800-880-5873|V|2020-07-30|ROANOKE|29|ROSENBERG|30|21090|302
35||||TTS LLC|972-924-9919|V|2020-07-30|SAN ANTONIO|77|HOUSTON|0|44000|196
36||||AMINO TR|281-763-7403|V|2020-07-30|TEMPLE|67|HOUSTON|0|40000|167
37|$3.68|$350||TMC LOGI|888-858-6953 X|V|2020-07-30|COLLEGE STATION|99|HOUSTON|0|42000|95
38|$2.81|$550||CIRCLE L|260-918-9518|V|2020-07-30|SAN ANTONIO|77|HOUSTON|0|20000|196
39||||C H ROBI|833-428-5247|VR|2020-07-30|SAN ANTONIO|77|LA PORTE|25|45200|222
