[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25637994,"HOUSTON, TX","LAPORTE, TX",30.07.2020 09:00:01,30.07.2020 09:25:25,"PASADENA, TX","HUMBLE, TX",29.656919;-95.138827,29.999389;-95.270574,30.07.2020 11:09:52,30.07.2020 11:45:38,SCOTLYNN,$600,499,TX,75,VAN (VR),ALL,DRYDRAUGHT,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:25:25,239-210-3000,,non,non,non,04:10:53,170,38,101
,25675931,"HOUSTON, TX","HOUSTON, TX",30.07.2020 09:00:01,30.07.2020 09:18:47,"HOUSTON, TX","DAYTON, TX",29.74475;-95.362966,30.041763;-94.893422,30.07.2020 10:58:04,30.07.2020 11:35:15,WATCO SU,$700,568,TX,75,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:47,479-717-6600,45000,non,non,non,04:09:18,182,61,132
,25675946,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","AUSTIN, TX",29.451246;-98.530923,30.334461;-97.691605,30.07.2020 14:16:52,30.07.2020 15:58:21,AMINO TR,$884,766,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,972-330-2804,43500,non,non,non,11:01:18,195,45,118
,25675948,"HOUSTON, TX","ALEXANDRIA, LA",30.07.2020 09:00:01,30.07.2020 13:15:56,"HOUSTON, TX","HUMBLE, TX",29.74475;-95.362966,29.999389;-95.270574,30.07.2020 18:07:42,30.07.2020 18:28:36,SCOTLYNN,$600,516,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:15:56,239-210-3000,17304,non,non,non,10:53:51,112,40,84
,25675965,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"HUTCHINS, TX","HOUSTON, TX",32.661711;-96.726832,29.74475;-95.362966,30.07.2020 15:22:14,30.07.2020 19:40:48,C H ROBI,$1200,1143,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,833-428-5247,40000,non,non,non,11:55:02,141,9,57
,25675967,"HOUSTON, TX","PASADENA, TX",30.07.2020 09:00:01,30.07.2020 09:18:28,"HOUSTON, TX","HUNTSVILLE, TX",29.74475;-95.362966,30.71794;-95.569723,30.07.2020 11:13:54,30.07.2020 12:34:19,NT LOGIS,$599,327,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:28,469-362-5050,,non,non,non,05:54:49,288,150,272
,25675970,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"SAN ANTONIO, TX","AUSTIN, TX",29.451246;-98.530923,30.334461;-97.691605,30.07.2020 15:14:40,30.07.2020 16:56:09,AMINO TR,$884,569,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,972-330-2804,25052,non,non,non,11:59:06,339,173,315
,25675972,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"DALLAS, TX","HOUSTON, TX",32.787629;-96.79941,29.74475;-95.362966,30.07.2020 15:10:33,30.07.2020 19:30:57,C H ROBI,$682,635,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,833-428-5247,2769,non,non,non,11:45:11,131,4,47
,25675973,"HOUSTON, TX","VICTORIA, TX",30.07.2020 09:00:01,30.07.2020 11:23:12,"HOUSTON, TX","DAYTON, TX",29.74475;-95.362966,30.041763;-94.893422,30.07.2020 15:16:37,30.07.2020 15:53:48,WATCO SU,$604,471,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:23:12,479-717-6600,,non,non,non,08:27:51,192,59,133
,25675974,"HOUSTON, TX","ALEXANDRIA, LA",30.07.2020 09:00:01,30.07.2020 13:15:56,"HOUSTON, TX","CONROE, TX",29.74475;-95.362966,30.31493;-95.471634,30.07.2020 18:07:42,30.07.2020 18:56:54,SCOTLYNN,$597,439,TX,75-200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:15:56,239-210-3000,20000,non,non,non,11:47:59,166,87,158
,25675976,"HOUSTON, TX","HOUSTON, TX",30.07.2020 09:00:01,30.07.2020 09:18:47,"HOUSTON, TX","HUNTSVILLE, TX",29.74475;-95.362966,30.71794;-95.569723,30.07.2020 10:58:04,30.07.2020 12:18:29,NT LOGIS,$700,447,TX,75,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 09:18:47,469-362-5050,,non,non,non,05:38:59,271,139,253
