_id_|RATE PER MILE|RATE POSTED|MARKET RATE|SHIPPER NAME|SHIPPER CONTACT NUMBER|EQUIPMENT TYPE|PICKUP DATE|ORIGIN CITY|DIST FROM ORIGIN|DEST CITY|DISTANCE FROM DESTINATION|WEIGHT|MILES
1||||HUB HIGH|844-887-4582|V|2020-07-30|CARROLLTON||HOUSTON||42000|255
2||||WATCO SU|913-601-4135|V|2020-07-30|CARROLLTON||HOUSTON||44000|255
3||||HUB HIGH|412-787-6210|V|2020-07-30|CARROLLTON||HOUSTON||42000|255
4||||ONLINE L|800-476-7977|VF|2020-07-30|CORSICANA||HOUSTON||46000|189
5||||ROAR LOG|716-775-6208|VR|2020-07-30|DALLAS||HOUSTON||44500|240
6|$1.95|$500||NT LOGIS|469-362-5050|V|2020-07-30|DALLAS||PASADENA|||253
7||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||42000|240
8||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||30000|240
9||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON|||240
10||||TOTAL QU|800-580-3101|VR|2020-07-30|DALLAS||HOUSTON||30000|240
11||||C H ROBI|833-428-5247|V|2020-07-30|DALLAS||HOUSTON||2769|240
12||||TOTAL QU|800-580-3101|VR|2020-07-30|FORT WORTH||DAYTON||42|291
13||||COYOTE L|773-799-2118|V|2020-07-30|FORT WORTH||NORTH HOUSTON||6796|256
14||||LANDSTAR|347-354-4647|V|2020-07-30|FORT WORTH||BROOKSHIRE||30000|256
15||||PLS LOGI|469-513-4854|V|2020-07-30|FORT WORTH||HOUSTON|||261
16||||ALLEN LU|800-254-5863|V|2020-07-30|FT WORTH||ROSENBERG||38354|292
17|$3.21|$700||C H ROBI|833-428-5247|V|2020-07-30|HUTCHINS||HOUSTON||17304|227
18||||ROAR LOG|716-775-6208|VR|2020-07-30|LANCASTER||DAYTON||44455|264
19||||LANDSTAR|479-765-0500|V|2020-07-30|LITTLE ELM||DICKINSON||2000|304
20||||RAPID TR|615-867-9902|VF|2020-07-30|MALAKOFF||HOUSTON||44000|210
21||||ONLINE L|800-476-7977|VF|2020-07-30|MALAKOFF||HOUSTON||46000|210
22||||TRI-STAT|843-407-7919|FSDV|2020-07-30|MALAKOFF||HOUSTON|||210
23||||TRINITY|806-722-0500|VF|2020-07-30|MALAKOFF||HOUSTON||45000|210
