[[ob_order_id]],shipment_id,origin_ib,destination_ib,pick_up_date_time_ib,delivery_date_time_ib,origin_ob,destination_ob,origin_ob_geo,destination_ob_geo,pick_up_date_time_ob,delivery_date_time_ob,client_name,freight_rate,benefit,state,radius,equipment_type,status,cdty_cd,srvc_cd,carr,pull_tm,schd_drop,contact,weight,email,quantity,cube,total_time,incremental_time,incremental_distance,expense
,25673385,"HOUSTON, TX","FORT WORTH, TX",30.07.2020 09:00:01,30.07.2020 14:21:27,"FORT WORTH, TX","LUFKIN, TX",32.746761;-97.319775,31.333355;-94.730425,30.07.2020 16:14:25,30.07.2020 19:53:41,PATHMARK,$662,518,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 14:21:27,901-362-1555,40000,non,non,non,14:01:42,169,75,144
,25675946,"HOUSTON, TX","SAN ANTONIO, TX",30.07.2020 09:00:01,30.07.2020 12:38:05,"SAN ANTONIO, TX","ORANGE, TX",29.451246;-98.530923,30.054793;-93.903108,30.07.2020 14:16:52,30.07.2020 19:31:50,C H ROBI,$500,153,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 12:38:05,833-428-5247,43500,non,non,non,13:33:56,348,197,347
,25675959,"HOUSTON, TX","CORPUS CHRISTI, TX",30.07.2020 09:00:01,30.07.2020 13:34:13,"LAREDO, TX","HOUSTON, TX",27.537555;-99.480231,29.74475;-95.362966,30.07.2020 17:33:35,30.07.2020 22:56:49,REDWOOD,$500,116,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:34:13,737-238-4634,39000,non,non,non,15:11:03,333,233,384
,25675961,"HOUSTON, TX","COMMERCE, TX",30.07.2020 09:00:01,30.07.2020 14:37:44,"DALLAS, TX","PASADENA, TX",32.787629;-96.79941,29.656919;-95.138827,30.07.2020 17:28:50,30.07.2020 22:15:06,NT LOGIS,$500,370,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 14:37:44,469-362-5050,,non,non,non,14:32:33,167,63,130
,25675965,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"FORT WORTH, TX","WACO, TX",32.746761;-97.319775,31.547751;-97.152218,30.07.2020 15:41:35,30.07.2020 17:33:34,CHARIOT,$557,411,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,615-206-7080,44000,non,non,non,13:09:09,215,64,146
,25675969,"HOUSTON, TX","SHREVEPORT, LA",30.07.2020 09:00:01,30.07.2020 14:37:59,"HAWKINS, TX","AUSTIN, TX",32.58734;-95.205385,30.334461;-97.691605,30.07.2020 17:50:48,30.07.2020 22:43:38,NT LOGIS,$554,167,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 14:37:59,469-362-5050,,non,non,non,17:46:35,361,227,387
,25675970,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"TEMPLE, TX","HOUSTON, TX",31.100124;-97.354661,29.74475;-95.362966,30.07.2020 14:43:33,30.07.2020 18:15:26,ELITE TR,$250,73,TX,75-200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,878-999-2874,43700,non,non,non,10:29:40,250,80,177
,25675972,"HOUSTON, TX","DALLAS, TX",30.07.2020 09:00:01,30.07.2020 13:32:27,"FORT WORTH, TX","WACO, TX",32.746761;-97.319775,31.547751;-97.152218,30.07.2020 15:41:35,30.07.2020 17:33:34,CHARIOT,$557,411,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 13:32:27,615-206-7080,43558,non,non,non,13:09:09,215,64,146
,25675975,"HOUSTON, TX","SHREVEPORT, LA",30.07.2020 09:00:01,30.07.2020 14:37:59,"HAWKINS, TX","AUSTIN, TX",32.58734;-95.205385,30.334461;-97.691605,30.07.2020 17:50:48,30.07.2020 22:43:38,NT LOGIS,$554,167,TX,200,VAN (VR),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 14:37:59,469-362-5050,,non,non,non,17:46:35,361,227,387
,25675982,"HOUSTON, TX","AUSTIN, TX",30.07.2020 09:00:01,30.07.2020 11:54:57,"AUSTIN, TX","DALLAS, TX",30.334461;-97.691605,32.787629;-96.79941,30.07.2020 13:33:31,30.07.2020 17:32:37,PLS LOGI,$552,70,TX,200,VAN (V),ALL,DRY,#DAY CAB#,#HTN#,30.07.2020 09:00:01,30.07.2020 11:54:57,215-309-7516,40000,non,non,non,13:59:29,460,280,482
