Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit
veh-25637994,25637994,"HOUSTON, TX","LAPORTE, TX",,25637994-101,RED RIVE,817-697-4310,HOUSTON; TX,SPRING; TX,52.7035927771633,203,670.955093856281
veh-25637994,25637994,"HOUSTON, TX","LAPORTE, TX",,25637994-153,EPES LOG,800-659-1117,PASADENA; TX,HOUSTON; TX,13.6366460785167,145,377.155424294017
veh-25673385,25673385,"HOUSTON, TX","FORT WORTH, TX",,25673385-105,C H ROBI,833-428-5247,HUTCHINS; TX,HOUSTON; TX,21.4348739234717,119,1135.51618210364
veh-25673385,25673385,"HOUSTON, TX","FORT WORTH, TX",,25673385-24,TTS LLC,817-728-5525,MANSFIELD; TX,HOUSTON; TX,3.46415300682267,126,617.416299451949
veh-25673385,25673385,"HOUSTON, TX","FORT WORTH, TX",,25673385-77,PLS LOGI,469-513-4854,FORT WORTH; TX,HOUSTON; TX,23.5922800651199,141,607.725109523159
veh-25673385,25673385,"HOUSTON, TX","FORT WORTH, TX",,25673385-14,LANDSTAR,347-354-4647,FORT WORTH; TX,BROOKSHIRE; TX,41.635701591957,139,569.092538788157
veh-25673385,25673385,"HOUSTON, TX","FORT WORTH, TX",,25673385-72,PATHMARK,901-362-1555,FORT WORTH; TX,LUFKIN; TX,74.8114133744268,169,518.065198884843
veh-25675931,25675931,"HOUSTON, TX","HOUSTON, TX",,25675931-98,SCOTLYNN,239-210-3000,HOUSTON; TX,HUMBLE; TX,32.407073707234,156,510.383653025464
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-161,TTS LLC,972-924-9919,SAN ANTONIO; TX,GALVESTON; TX,92.6740154348988,283,997.443328453486
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-126,C H ROBI,833-428-5247,LAREDO; TX,JERSEY VILLAGE; TX,279.686082493445,511,501.681089324402
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-121,RED CLAS,469-786-2605,LAREDO; TX,HOUSTON; TX,261.128785713398,477,380.77603285819
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-304,TANDEM L,512-388-9433,SAN ANTONIO; TX,FORNEY; TX,329.924689624318,580,380.675532909971
veh-25675946,25675946,"HOUSTON, TX","SAN ANTONIO, TX",,25675946-362,C H ROBI,833-428-5247,SAN ANTONIO; TX,ORANGE; TX,196.827270806666,348,153.135820448134
